# word | phonetic | pos. | meaning | example | topic
histologic |  |  | a. 组织学 |  | work
robustness |  |  | 健壮性；鲁棒性 |  | health
barrette | /bә'ret/ | n. | 条状发夹 |  | general
outback | /'aut'bæk/ | n. | 内地；a. 内地的 |  | general
loveless | /'lʌvlis/ |  | a. 无爱情的, 不可爱的 |  | general
lewd | /lu:d/ |  | a. 淫荡的；淫荡的, 猥亵的 |  | general
laconically | /lә'kɒnikli/ | adv. | 简洁地 |  | general
impolite | /.impә'lait/ |  | a. 无礼的, 粗鲁的 |  | general
mindfulness |  | n. | 留心, 警觉 |  | general
gastronomic | /,^æstrәu'nɔmik/ |  | a. 美食(烹饪)法的, 烹任学的 |  | general
radicchio | /ræˈdi:kiəʊ/ | n. | 菊苣 |  | general
bluish | /'bluiʃ/ |  | a. 带蓝色的 |  | culture
lycopene | /'laikә,pi:n/ |  | 番茄红素 |  | general
tibial | /'tibiәl/ |  | a. 胫骨的；胫骨的 |  | general
unsteadily | /.ʌn'stedili/ | adv. | 不稳固地, 不稳定地, 摇摆地 |  | general
thyself | /ðai'self/ | pron. | 你自己 |  | general
majestically | /mə'dʒestɪklɪ/ | adv. | 雄伟地；庄重地 |  | general
noncommissioned | /.nɒnkә'miʃәnd/ |  | a. 无委任令的, 未经任命的 |  | general
amygdala | /ә'migdәlә/ | n. | 巴旦杏, 扁桃, 扁桃体；苦扁桃, 苦巴旦杏, 扁桃体, 杏仁核 |  | culture
fiance | /fi'ɒnsei/ | n. | 未婚夫 |  | general
extortionate | /ik'stɒ:ʃәnәt/ |  | a. 敲诈的, 勒索的, 过度的, 昂贵的；勒索的, 敲诈的, 强夺的 |  | general
neuroticism |  |  | 神经过敏症 |  | health
braille | /breil/ | n. | 布莱叶点字法(盲人用点字法)；vt. 用布莱叶点字法印刷 |  | general
widowhood | /'widәuhud/ | n. | 寡妇身分, 守寡 |  | general
knickknacks | /'nɪknæk/ | n. | 小玩意儿；小衣饰 |  | culture
slyly | /'slaili/ | adv. | 狡猾地, 秘密地, 俏皮地, 偷偷地 |  | culture
pallor | /'pælә/ | n. | 苍白, 青白；苍白 |  | general
greyness | /ɡreɪnəs/ |  | （钢板酸洗缺陷）灰斑 |  | general
discernment |  |  | 认识, 识别, 洞察力 |  | general
stoner | /'stəʊnə/ |  | 投石者；铺石块者 |  | general
oceanfront | /'әjʃәnfrʌnt/ | n. | 海滨 |  | general
quesadilla | /,keisә'di:jә/ | n. | 油炸玉米粉饼(一种墨西哥食品,以干酪等为馅) |  | general
telepathy | /ti'lepәθi/ | n. | 传心(术), 通灵(术), 传心(或通灵)能；思想交通, 思想感应, 传心 |  | general
sweetie | /'swi:ti/ | n. | 情人, 爱人, 甜食 |  | general
neurologic |  |  | a. 神经病学 |  | general
sceptically | /'skeptɪklɪ/ | adv. | 怀疑地 |  | general
plasterwork | /'plɑ:stәw\\\\:k-,'plæs-/ | n. | 抹灰泥工作 |  | work
degenerative | /di'dʒenәrәtiv/ |  | a. 退步的, 退化的, 变质的；变性的, 退化的, 变质的 |  | health
lockstep | /'lɒkstep/ | n. | 紧密行进步伐, 因循守旧 |  | general
dandruff | /'dændræf/ | n. | 头皮屑；皮屑(尤指头皮屑) |  | general
beanie | /'bi:ni/ | n. | (大学一年级男生或儿童等戴的)无檐小便帽 |  | education
vexatious | /vek'seiʃәs/ |  | a. 叫人发急的, 使人为难的, 无理缠讼的；苛捐杂税 |  | general
testable |  |  | a. 可试验的, 有资格作证人的, 有资格立 |  | general
torte | /tɔ:t/ | n. | 德国大蛋糕,果子奶油蛋糕 |  | general
lamely | /'leimli/ | adv. | 一瘸一拐地, 不完全地 |  | general
arrogantly | /'ærəgəntli/ | adv. | 傲慢地；自大地 |  | general
