# word | phonetic | pos. | meaning | example | topic
buckboard | /'bʌkbɒ:d/ | n. | 平板马车 |  | general
thankless | /'θæŋklis/ |  | a. 不感谢的, 忘恩的, 不知感恩的 |  | general
skywards | /ˈskaɪwədz/ | adv. | 向着天空, 向天空地 |  | general
unpasteurized | /ʌn'peɪstʃəraɪzd/ |  | a. 未经高温消毒的 |  | general
mediastinal |  |  | 纵隔的 |  | culture
razzmatazz | /'ræzmәtæz/ | n. | 兴奋, 欺人之谈, 狂欢 |  | general
nettlesome | /'netlsәm/ |  | a. 令人激恼的, 烦人的, 易怒的 |  | general
scuttlebutt | /'skʌtlbʌt/ | n. | 饮水容器, 清水桶, 谣言 |  | general
natured |  | abbr. | 表示“本性...的、性...情的”之义 |  | general
gigahertz | /'^i^әhә:ts/ |  | 千兆赫 |  | general
laxity | /'læksәti/ | n. | 松弛, 不检点；松驰, 无紧张 |  | general
intentioned | /in'tenʃәnd/ |  | a. 有...企图的, 出于...意向的 |  | general
inattention | /.inә'tenʃәn/ | n. | 不注意, 粗心, 疏忽 |  | general
heatstroke | /'hi:tstrәuk/ | n. | 中暑 |  | general
gibberish | /'dʒibәriʃ/ | n. | 快而不清的语, 胡扯 |  | general
electroshock | /i'lektrәuʃɒk/ | n. | 电震, 电休克, 电击疗法；电休克 |  | general
dismemberment |  |  | 肢体切断 |  | general
daringly |  | adv. | 毅然地；大胆地 |  | general
terrycloth | /teraɪk'lɒθ/ | n. | 毛巾布 |  | general
colloquially | /kә'lәukwiәli/ | adv. | 用口语, 用通俗语 |  | general
adroitly | /ә'drɒitli/ | adv. | 灵巧地, 敏捷地 |  | general
unearned | /.ʌn'ә:nd/ |  | a. 非劳动所得的, 通过投资赚得的, 不配；不劳而获的, 不应得的, 份外的 |  | economy
exportation | /,ekspɔ:'teiʃәn/ | n. | 输出, 出口物, 输出品, 出口；出口(货) |  | economy
terrifically | /tә'rifikli/ | adv. | 非常地, 极端地, 可怕地 |  | general
stylishly | /'staɪlɪʃlɪ/ | adv. | 时髦地, 新式地 |  | general
megalopolis | /.megә'lɒpәlis/ | n. | 特大都市, 人口稠密地带 |  | society
perceptively | /pə'septivli/ | adv. | 洞察力强地, 敏锐地 |  | general
decedent | /di'si:dәnt/ | n. | 死者 |  | general
labyrinthine | /,læbә'rinθain, -θin/ |  | 迷路的 |  | general
inefficiently | /ˌɪnɪ'fɪʃntlɪ/ | adv. | 无效率地 |  | work
greenness | /'gri:nnis/ | n. | 绿色, 新鲜, 未熟 |  | general
teetotaler | /ti:'tәutәlә/ | n. | 绝对戒酒者, 戒酒主义者 |  | general
generically | /dʒi'nerikli/ | adv. | 关于属类, 属类地, 属类上 |  | economy
elegiac | /.eli'dʒaiәk/ | n. | 哀歌, 挽歌；a. 哀歌体的, 挽歌的 |  | general
hardpan | /'hɑ:dpæn/ | n. | 硬质地层, 未开垦的硬地, 粘土层 |  | environment
effusive | /i'fju:siv/ |  | a. 感情横溢的, 奔放的, 流出的 |  | general
ardently | /'ɑ:dntli/ | adv. | 热心地, 热烈地 |  | general
archetypical | /,ɑ:ki'tipikəl/ |  | a. 典型的 |  | general
ungodly | /.ʌn'gɒdli/ |  | a. 不敬畏神的, 不可思议的, 邪恶的；adv. 可怕地, 令人憎厌地 |  | general
spidery | /'spaidәri/ |  | a. 蜘蛛一般的, 细长足的, 蜘蛛网一般的 |  | general
rumpus | /'rʌmpәs/ | n. | 喧闹, 吵闹 |  | society
orderliness | /'ɒ:dәlinis/ | n. | 整齐状态, 条理性, 秩序井然 |  | general
inaccessibility | /'inæk.sesә'biliti/ | n. | 难达到, 难接近, 难达成 |  | general
guardedly |  | adv. | 被保卫着, 不多话, 谨慎, 安全, 被监视 |  | general
hangnail | /'hæŋneil/ | n. | (指甲旁的)倒拉刺 |  | general
safflower | /'sæflauә/ | n. | 红花, 红花染料, 红花油；红花, 草红花 |  | general
friendless | /'frendlis/ |  | a. 没有朋友的, 无依无靠的 |  | society
mescal | /me'skæl/ | n. | 麦斯卡尔酒, 龙舌兰, 威廉斯仙人球；威廉斯仙人球, 龙舌兰酵汁 |  | general
familiarisation | /fə,miljərai'zeiʃən; -ri'z-/ | n. | familiarise的变形 |  | general
decorous | /'dekәrәs/ |  | a. 有礼貌的, 高雅的, 端正的 |  | general
compressible | /kәm'presәbl/ |  | a. 可压缩的；可压缩的, 可压紧的 |  | general
javelina | /,hɑ:vi'li:nә/ | n. | (=peccary)一种野猪 |  | general
disinclination | /.disinkli'neʃәn/ | n. | 不愿, 不感兴趣, 厌恶 |  | general
brewpub | /ˈbru:ˌpʌb/ | n. | 出售自制啤酒的酒馆 |  | general
palpation |  | n. | 触诊, 扪诊；触诊, 扪诊 |  | health
chokehold | /'tʃəʊkˌhəʊld/ | n. | 掐脖子；压制 |  | general
purulent | /'pjuәrjulәnt/ |  | a. 脓的, 化脓性的, 化脓的；脓性的 |  | general
uselessness | /'ju:sləsnəs/ | n. | 无用 |  | general
unlovely | /.ʌn'lʌvli/ |  | a. 不可爱的, 不漂亮的, 丑的 |  | general
staggeringly | /'stæɡərɪŋlɪ/ | adv. | 难以置信地；令人震惊地 |  | general
salacious | /sә'leiʃәs/ |  | a. 好色的, 猥亵的, 黄色的；淫秽的, 黄色的, 淫荡的 |  | general
roguish | /'rәugiʃ/ |  | a. 流氓的, 无赖的, 恶作剧的；不诚实的, 流氓的, 恶作剧的 |  | general
hemangioma | /hi:,mændʒi'әumә/ |  | 血管瘤 |  | general
newfound | /'nju:fajnd/ |  | a. 新发现的 |  | general
lamentably | /'læməntəblɪ/ | adv. | 哀伤地, 拙劣地 |  | general
irretrievable | /.iri'tri:vәbl/ |  | a. 不能挽回的, 不能复原的；不能恢复的, 无法挽救的, 不能弥补的 |  | general
papillary | /pә'pilәri/ |  | a. 乳头的, 乳突的；乳头的, 乳头状的 |  | general
unspectacular | /ˌʌnspekˈtækjələ(r)/ |  | a. 不引人注意的 |  | general
taproot | /'tæpru:t/ | n. | 主根, 直根；直根 |  | general
uncontested | /.ʌnkәn'testid/ |  | a. 没有人争的, 无竞争的, 明显的；无争议的, 无竞争的, 无异议的 |  | general
unconsidered | /.ʌnkәn'sidәd/ |  | a. 不值得考虑的, 被忽视的, 欠考虑的 |  | general
tenfold | /'tenfәuld/ |  | a. 十倍的, 十重的；adv. 十倍地, 十重地 |  | culture
ziti | /'zi:ti/ |  | n.意大利通心面(包括通心粉等) |  | general
leveler | /'levәlә/ |  | 校平器 |  | society
resurgent | /ri'sә:dʒәnt/ |  | a. 复生的, 复活的；n. 复活者 |  | general
resourcefulness |  | n. | 足智多谋 |  | general
unstudied | /ʌn'stʌdid/ |  | a. 未学得的, 不通晓的, 不故意做作的 |  | culture
pleasingly | /'pli:ziŋli/ | adv. | 高兴地；喜欢地 |  | general
triadic |  |  | a. 三人组合的, 三合一的 |  | general
nonexistent | /.nɒnig'zistәnt/ |  | a. 不存在的 |  | general
longshore | /'lɒŋʃɒ:/ |  | a. 沿岸的, 在海岸工作的 |  | work
inexcusable | /.inik'skju:zәbl/ |  | a. 没法辩解的, 不可宽赦的 |  | general
gormless | /'gɒ:mlis/ |  | a. 笨头笨脑的 |  | general
glitz | /glɪts/ | n. | 闪光, 炫目, 浮华 |  | general
glaringly | /'ɡleərɪŋlɪ/ | adv. | 显而易见地；耀目地, 显目地 |  | general
fairyland | /'fєәrilænd/ | n. | 仙境, 乐园 |  | general
effervescent | /.efә'vesnt/ |  | a. 冒泡的, 兴奋的, 泡腾的；泡腾的, 泡腾剂 |  | general
pentathlon | /pen'tæθlәn/ | n. | 五项全能运动 |  | general
defensiveness | /dɪ'fensɪvnəs/ |  | 防御性 |  | general
clumsiness | /'klʌmzinis/ | n. | 笨拙, 粗陋, 不漂亮 |  | general
tempura | /'tempu,rɑ:, tem'purә/ | n. | (Jap.)天麸罗（日本菜肴） |  | general
baseless | /'beislis/ |  | a. 无根据的 |  | general
narc | /nɑ:k/ | n. | 缉毒刑警；便衣警察 |  | society
worshipful | /'wә:ʃipful/ |  | a. 崇拜的, 尊敬的, 尊贵的 |  | general
outspend | /aut'spend/ | v. | 用钱超过(收入等), 过度消耗, 开支比.. |  | economy
unclaimed | /.ʌn'kleimd/ |  | a. 无人认领的, 未经要求的, 无人领取的；没有人来领取的 |  | general
thoughtfulness |  | n. | 体贴；思虑 |  | general
straggly | /'stræ^li/ |  | a. 蔓延的, 散落的, 散乱的 |  | general
seasick | /'si:sik/ |  | a. 晕船的 |  | general
animalistic | /,ænimә'listik/ |  | a. 兽性说的, 色情的 |  | general
soteriological |  |  | 救赎论；救赎性 |  | general
preeclampsia |  |  | 子痫前期, 惊厥前期 |  | general
loveliness | /'lʌvlinis/ | n. | 可爱, 美丽, 魅力 |  | general
lingo | /'liŋgәu/ | n. | 外国话, 隐语；行话, 航业暗语 |  | culture
joyless | /'dʒɒilis/ |  | a. 不高兴的, 不快乐的 |  | general
jauntily | /'dʒɒ:ntili/ | adv. | 快活地, 活泼地, 洋洋得意地 |  | general
hydraulics | /hai'drɒ:liks/ | n. | 水力学；水力学 |  | general
homicidal | /.hɒmi'saidl/ |  | a. 杀人的；杀人犯的, 有杀人癖好的 |  | general
grievously | /ˈgri:vəslɪ/ | adv. | 严重地 |  | general
