# word | phonetic | pos. | meaning | example | topic
nautilus | /'nɒ:tilәs/ | n. | 鹦鹉螺, 船蛸 |  | general
maximisation |  |  | 最大化 |  | general
palladium | /pә'leidiәm/ | n. | 钯；钯Pd |  | general
nastily | /'nɑ:stili/ | adv. | 污秽地, 不洁地, 讨厌地 |  | general
pixie | /'piksi/ | n. | 妖精, 喜欢恶作剧的精灵, 小鬼；a. 淘气的, 调皮捣蛋的, 恶作剧的 |  | general
archly | /'ɑ:tʃli/ | adv. | 狡猾地, 顽皮地, 主要地, 淘气地 |  | general
accusingly | /ә'kju:ziŋli/ | adv. | 责难地 |  | general
hashish | /'hæʃi:ʃ/ | n. | 大麻麻醉剂；(印度)大麻 |  | general
delightedly | /dɪ'laɪtɪdlɪ/ | adv. | 欣喜地, 高兴地；欢欢喜喜 |  | general
kidd |  | n. | 基德（姓名） |  | general
perihelion | /.peri'hi:liәn/ | n. | 近日点, 最高点, 顶点 |  | general
cps |  |  | 每秒钟字符数；中国物理学会 |  | general
salience | /'seiliәns/ | n. | 显著, 卓越, 突出, 突起, 特征 |  | general
poetical | /pәu'etikәl/ |  | a. 诗的, 用诗写成的, 韵文的, 理想化 |  | general
lamplight | /'læmplait/ | n. | 灯火 |  | general
whoa | /wәu/ | int. | 惊叹声, 停止 |  | general
pilothouse | /'pailәthaus/ | n. | 驾驶室 |  | culture
bookkeeping | /'bukki:piŋ/ | n. | 簿记；簿记, 簿记学 |  | economy
rotenone | /'rәutnәun/ |  | 鱼藤酮；鱼藤酮 |  | general
voicemail | /ˈvɔɪsmeɪl/ | n. | 语音信箱 |  | technology
ajax |  |  | 创建交互式 Web 应用程序而无需牺牲浏览器；爵士白 |  | technology
unmodified | /ʌn'mɔdifaid/ |  | a. 未更改的, 未变的 |  | general
multivariate | /,mʌlti'veәriit, -eit/ |  | 多元 |  | general
horseradish | /hɒ:s'rædiʃ/ | n. | 辣根, 辣根所制调味剂 |  | general
turbinate | /'tә:binit/ |  | a. 陀螺状的, 鼻甲的；甲介形的 |  | general
bovril | /'bɒvrәl/ | n. | 浓缩牛肉汁 |  | general
segmental | /seg'mentl/ |  | a. 部分的, 断节的；节的, 段的, 分节的 |  | work
diffraction | /di'frækʃәn/ | n. | 衍射；衍射 |  | general
despondently | /dɪ'spɒndəntlɪ/ | adv. | 沮丧地, 意志消沉地 |  | general
algal | /'æl^әl/ |  | 藻的 |  | general
intracranial | /,intrә'kreiniәl/ |  | a. 颅内的；颅内的 |  | general
monetarism | /'mʌnitәrizәm/ |  | 货币主义 |  | economy
fieldstone | /'fi:ldstәun/ | n. | 粗石；散石 |  | general
testosterone | /te'stɒstәrәun/ | n. | 睾丸激素；睾酮 |  | general
hemorrhoid | /'hemәrɔid/ | n. | 痔, 痔疮；痔 |  | general
annulment | /ә'nʌlmәnt/ | n. | 废除, 取消；废止, 废除, 取消 |  | society
theatergoer | /θɪətə'ɡəʊər/ | n. | 戏迷, 戏剧家 |  | general
banco | /'bæŋkәu/ | n. | 审判官席 |  | general
nullity | /'nʌliti/ | n. | 无效, 无效行为, 无效证书；无效, 作废, 无效的行为 |  | general
afore | /ә'fɒ:/ | adv. | 在前；prep. 在...前 |  | culture
unaffiliated | /ˌʌnəˈfɪlieɪtɪd/ |  | a. 无党派, 无组织的 |  | work
mechanization | /.mekәnai'zeiʃәn/ | n. | 机械化, 机动化；机械化 |  | technology
multilingual | /.mʌlti'liŋgwәl/ |  | a. 多语言的 |  | culture
heterosexuality | /,hetәrәu,seksju'æliti/ | n. | 异性爱；异性性欲 |  | general
freebie | /'fri:bi:/ | n. | 免费的东西；免费赠品（尤指戏院赠券） |  | culture
explicitness | /iks'plisitnis/ | n. | 直言不讳；明确性 |  | general
baroness | /'bærәnis/ | n. | 男爵夫人, 女性男爵 |  | general
extraterritorial | /'ekstrә,teri'tɔ:riәl/ |  | a. 治外法权；治外法权的 |  | general
cellulite | /ˈseljulaɪt/ | n. | （胖女人臀腿部的）脂肪团 |  | general
sailfish | /'seilfiʃ/ | n. | 旗鱼 |  | general
sensorineural | /,sensəri'njjәrəl/ |  | a. 感觉神经的 |  | general
showplace | /'ʃәupleis/ | n. | 名胜地, 剧院 |  | culture
dishonestly | /dɪs'ɒnɪstlɪ/ | adv. | 不诚实地, 不正直地 |  | general
hypothyroidism | /haipәj'θairɔidiz(ә)m/ | n. | 甲状腺功能减退；甲状腺机能减退 |  | general
justinian |  | n. | 东罗马帝国皇帝 |  | society
obstetric | /ɒb'stetrik/ |  | a. 产科的, 分娩的；产科学的, 产科的 |  | general
lucifer | /'lu:sifә/ | n. | 明亮之星, 撒旦 |  | culture
lapis | /'læpis/ |  | 石 |  | general
stigmatization |  |  | 斑痕形成；瘀斑形成 |  | general
psychosomatic | /.saikәsәu'mætik/ |  | a. 身心的, 身心失调的；身心的, 心身的 |  | health
wormwood | /'wә:mwud/ | n. | 苦艾, 苦恼；苦艾 |  | general
crabmeat | /k'ræbmi:t/ | n. | 蟹肉 |  | general
unseeing | /ʌn'si:iŋ/ |  | a. 不注意的, 视而不见的 |  | general
shamefaced | /'ʃeimfeist/ |  | a. 害羞的, 谦逊的, 不惹眼的, 羞耻的 |  | general
nimbly | /'nimbli/ | adv. | 敏捷地, 机敏地 |  | general
muscat | /'mʌskәt/ | n. | 马斯喀特（阿曼首都） |  | general
unhurriedly | /ʌn'hʌrɪdlɪ/ | adv. | 不慌不忙地, 从容不迫地；慢悠悠 |  | general
reestablishment |  |  | 使复位, 使复职, 恢复 |  | general
teasingly | /'ti:ziŋli/ | adv. | 烦恼地,受嘲弄地 |  | general
mournfully | /'mɔ:nfəlɪ/ | adv. | 悲哀地, 凄惨地 |  | general
morosely | /mə'rəʊslɪ/ | adv. | 愁眉苦脸地, 忧郁地 |  | general
tosh | /tɒʃ/ | n. | 胡说, 梦话 |  | general
leafless | /'li:flis/ |  | a. 无叶的 |  | general
juridical | /.dʒuә'ridikәl/ |  | a. 裁判上的, 司法上的, 法院的；司法上的, 审判上的, 法律上的 |  | society
unclassified | /.ʌn'klæsifaid/ |  | a. 无类别的, 不保密的；不分类的 |  | general
vicariously |  | adv. | 代理地, 担任代理者地；间接感受到地 |  | general
bachelorette | /,bætʃәlә'ret/ | n. | 未婚女子 |  | general
catlike | /'kætlaik/ |  | a. 象猫的, 偷偷摸摸的 |  | general
resentfully |  | adv. | 充满愤恨地 |  | general
gravitationally | /,ɡrævi'teiʃənəli/ | adv. | gravitational（万有引力的）的变 |  | general
newbie |  |  | 新成员 |  | culture
wonderingly | /ˈwʌndrɪŋli/ | adv. | 惊讶地 |  | general
skint | /skint/ |  | a. 身无分文的, 穷光蛋的 |  | general
sadism | /'sædizm/ | n. | 虐待狂, 施虐欲, 残忍；性虐待狂, 虐待狂 |  | general
tillage | /'tilidʒ/ | n. | 耕种, 耕地, 耕作 |  | general
horner | /'hɔ:nә(r)/ | n. | 吹号角者, (非正式)服海洛因的人 |  | general
garlicky | /'^ɑ:liki/ |  | a. 有大蒜气味的 |  | general
relativism | /'relәtivizm/ | n. | 相对论, 相对主义 |  | general
pharmacological | /.fɑ:mә'kɒlәʒikl/ |  | a. 药理学的, 药物学的；药理学的 |  | health
expressiveness |  |  | 可表达性 |  | general
chromosomal | /,krәumә'sәumәl/ |  | a. 染色体；染色体的 |  | general
overconfidence | /.әuvә'kɒnfidәns/ | n. | 自信过强, 自负 |  | general
reproducible | /.ri:prә'dju:sәbl/ |  | a. 可再生的, 可复写的, 能繁殖的 |  | environment
hammerhead | /'hæmәhed/ | n. | 锤头, 笨人 |  | culture
seltzer | /'seltsә/ | n. | 仿制的矿泉水, 苏打水 |  | general
alfa | /'ælfә/ |  | 芦苇草 |  | general
disequilibrium | /.disikwi'libriәm/ | n. | 不均衡, 失调；平衡不稳 |  | general
algebraic | /.ældʒi'breiik/ |  | a. 代数的, 代数学的 |  | general
deflationary | /di'fleiʃәnәri/ |  | a. 通货紧缩的；紧缩(通货)的 |  | economy
velcro |  | n. | 维可牢（一种尼龙搭扣的商标名称） |  | general
togo | /'tәu^әu/ | n. | 多哥（西非国家） |  | general
samoa | /sә'mәuә/ | n. | 萨摩亚（南太平洋中部一群岛） |  | environment
ammonium | /ә'mәunjәm/ | n. | 铵；铵 |  | general
peppy | /'pepi/ |  | a. 精神充沛的, 活泼的, 起动快的 |  | health
zapper | /'zæpә/ |  | 微波(或辐射)灭虫器, 微波除草器 |  | general
webcam | /'webkæm/ | n. | 网络摄像头 |  | technology
backstop | /'bækstɒp/ | n. | 挡球网, 接球手；背向停止 |  | general
interscholastic | /.intәskә'læstik/ |  | a. 校际的 |  | education
macroscopic | /,mækrәu'skɔpik/ |  | a. 肉眼可见的, 宏观的, 目视的；肉眼的, 目视的 |  | general
kitschy | /'kitʃi/ |  | 艺术上浅薄鄙俗但技巧娴熟的 |  | culture
afforestation | /æ.fɒri'steiʃәn/ | n. | 造林；荒地造林 |  | environment
nonexistence | /.nɒnig'zistәns/ | n. | 不存在的事, 无, 不存在的东西 |  | general
weald | /wi:ld/ | n. | 旷野, 林地 |  | environment
unassisted | /.ʌnә'sistid/ |  | a. 无助的, 独力的 |  | general
subcompact | /'sʌb'kɔmpækt/ | n. | 超小型汽车 |  | general
benzene | /'benzi:n/ | n. | 苯；苯 |  | environment
havelock | /'hævlɒk/ | n. | 遮阳布 |  | general
bulimia | /bju:'limiә/ | n. | 食欲过盛；善饥, 食欲过盛 |  | general
belize | /be'li:z/ | n. | 伯利兹城（拉丁美洲国家） |  | general
buggery |  | n. | 鸡奸；鸡奸者, 兽奸 |  | education
luge | /lu:ʒ/ | n. | (竞赛用)的仰卧小雪撬；vi. 坐小雪橇滑雪 |  | general
detoxification | /di:,tɔksifi'keiʃәn/ |  | 解毒作用 |  | health
probabilistic | /,prɔbәbi'listik/ |  | 概率性的 |  | general
foxy | /'fɒksi/ |  | a. 如狐的, 狡猾的, 赤褐色的 |  | general
tubal | /'tju:bl/ |  | a. 管的, 输卵管的；管的 |  | general
scrim | /skrim/ | n. | 平纹棉麻织物 |  | general
unmoving | /'ʌn'mu:viŋ/ |  | a. 不感动人的, 不动人的 |  | general
anthropomorphic | /.ænθrәpә'mɒ:fik/ |  | a. 被赋于人形的；有人形的, 类人的 |  | general
aleph | /'ɑ:lif/ | n. | 希伯来文的第一个字母 |  | general
ischemia |  | n. | 局部出血, 局部贫血；局部缺血 |  | culture
overemphasis | /.әuvәr'emfәsis/ | n. | 过分强调 |  | general
questioningly | /'kwestʃәniŋli/ | adv. | 质问地, 疑惑地 |  | general
fixedly | /'fiksidli/ | adv. | 固定, 不变, 不动 |  | general
ischemic |  |  | a. 局部出血的, 局部贫血的；局部缺血的 |  | general
medial | /'mi:diәl/ |  | a. 中间的, 平均的, 普通的；n. 中间字母 |  | general
bobber | /'bɒbә/ | n. | 浮子 |  | general
carport | /'kɑ:pɒ:t/ | n. | 汽车棚 |  | general
xviii |  | num. | 罗马数字 18 |  | technology
reflexive | /ri'fleksiv/ |  | a. 反射的, 折回的, 折转的, 内省的；n. 反身代词, 反身动词 |  | general
presumptive | /pri'zʌmptiv/ |  | a. 根据推定的, 假定的, 预期的；推定的, 预期的 |  | general
snowplow | /'snәjplaj/ | n. | 雪犁, 扫雪机, 犁雪机 |  | general
flatiron | /'flæt.aiәn/ | n. | 熨斗 |  | general
standish | /'stændiʃ/ | n. | 墨水台 |  | general
puck | /pʌk/ | n. | 好恶作剧的小妖精, 淘气小孩, 冰球 |  | general
orthodontist | /,ɔ:θәj'dɔntist/ | n. | 畸齿校整医生；正牙学家 |  | general
judicially | /dʒʊ'dɪʃəlɪ/ | adv. | 依法判决地, 公平地 |  | general
fettuccine | /ˌfetʊ'tʃi:nɪ/ | n. | 意大利宽面条, 扁平细面条；（用意大利宽面条烹制的）白脱奶油面 |  | general
dimness | /'dimnis/ | n. | 微暗, 不清楚 |  | general
diffidently | /'dɪfɪdəntlɪ/ | adv. | 胆怯地；踌躇地 |  | general
dermatitis | /.dә:mә'taitis/ | n. | 皮肤炎；皮炎 |  | general
syntactically | /sin'tæktikli/ | adv. | 句法上 |  | general
irrecoverable | /.iri'kʌvәrәbl/ |  | a. 不能收回的, 不能挽回的, 不能复原的 |  | general
pizzazz | /pi'zæz,pә-/ | n. | 精力, 劲儿, 精神, 漂亮, 时髦派头 |  | health
tench | /tenʃ/ | n. | 丁鲷 |  | general
schematically |  | adv. | 计划性地, 按照图式 |  | general
manioc | /'mæniɒk/ | n. | 木薯, 木薯粉；木薯 |  | general
progestin | /prәu'dʒestin/ | n. | 孕激素；黄体制剂 |  | general
upriver | /'ʌp'rivә/ |  | a. 上游的, 向水源的 |  | general
tarot | /'tærәut/ | n. | (算命用的)有图纸牌 |  | general
hegemonic | /.hedʒi'mɒnik/ |  | a. 支配的, 霸权的 |  | general
goalie | /'^әjli/ | n. | 守门员 |  | general
maneuverable | /mә'nu:vәrәbl/ |  | a. 操作灵活的, 有机动性的 |  | general
astern | /ә'stә:n/ | adv. | 在船尾, 向船尾 |  | general
annunciation | /ә.nʌnsi'eiʃәn/ | n. | 宣布, 通告 |  | culture
luna | /'lu:nә/ | n. | 卢娜(月神), 月 |  | culture
ladyship | /'leidiʃip/ | n. | 贵妇身分, 夫人, 小姐 |  | general
lutein | /'lu:tiin/ | n. | 叶黄素；黄体素, 脂色素 |  | general
adobo | /ә'dәjbәj/ | n. | 阿斗波(拉美、菲律宾等地的一种菜肴, 源自西 |  | general
