# word | phonetic | pos. | meaning | example | topic
abandon | /əˈbændən/ | v. | 放弃；抛弃 | The government abandoned the plan after public protest. | core
accommodate | /əˈkɒmədeɪt/ | v. | 容纳；适应 | The hall can accommodate up to 500 people. | core
acquire | /əˈkwaɪə(r)/ | v. | 获得；习得 | Children acquire language naturally through interaction. | core
adapt | /əˈdæpt/ | v. | 适应；改编 | Companies must adapt to rapid technological change. | core
advocate | /ˈædvəkeɪt/ | v. | 提倡，主张 | Many experts advocate a carbon tax. | core
alleviate | /əˈliːvieɪt/ | v. | 减轻，缓解 | The policy aims to alleviate urban poverty. | core
analyse | /ˈænəlaɪz/ | v. | 分析 | Researchers analysed data from 20 countries. | core
anticipate | /ænˈtɪsɪpeɪt/ | v. | 预料，预期 | Nobody anticipated the scale of the problem. | core
assess | /əˈses/ | v. | 评估，评定 | Teachers assess students through continuous coursework. | core
attribute | /əˈtrɪbjuːt/ | v. | 归因于 | She attributes her success to hard work. | core
boost | /buːst/ | v. | 促进，提高 | Investment in rail boosts regional economies. | core
curb | /kɜːb/ | v. | 抑制，控制 | Stricter laws could curb emissions. | core
deteriorate | /dɪˈtɪəriəreɪt/ | v. | 恶化 | Air quality has deteriorated over the decade. | core
diminish | /dɪˈmɪnɪʃ/ | v. | 减少，削弱 | The influence of print media has diminished. | core
distribute | /dɪˈstrɪbjuːt/ | v. | 分配，分发 | Vaccines were distributed to remote areas. | core
eliminate | /ɪˈlɪmɪneɪt/ | v. | 消除，排除 | The scheme eliminated most manual errors. | core
emerge | /iˈmɜːdʒ/ | v. | 出现，浮现 | New industries emerged after the reform. | core
enhance | /ɪnˈhɑːns/ | v. | 提高，增强 | Music training enhances cognitive development. | core
ensure | /ɪnˈʃʊə(r)/ | v. | 确保 | Regulations ensure food safety standards. | core
exacerbate | /ɪɡˈzæsəbeɪt/ | v. | 使恶化，加剧 | Urban sprawl exacerbates traffic congestion. | core
facilitate | /fəˈsɪlɪteɪt/ | v. | 促进，使便利 | The internet facilitates distance learning. | core
fluctuate | /ˈflʌktʃueɪt/ | v. | 波动 | Prices fluctuated wildly last year. | core
generate | /ˈdʒenəreɪt/ | v. | 产生，生成 | Wind farms generate cheap electricity. | core
hinder | /ˈhɪndə(r)/ | v. | 阻碍 | Poor sleep hinders academic performance. | core
implement | /ˈɪmplɪment/ | v. | 实施，执行 | The council implemented a recycling scheme. | core
impose | /ɪmˈpəʊz/ | v. | 强加；征收 | A tax was imposed on sugary drinks. | core
incentivise | /ɪnˈsentɪvaɪz/ | v. | 激励 | Subsidies incentivise farmers to go organic. | core
incorporate | /ɪnˈkɔːpəreɪt/ | v. | 包含，纳入 | The course incorporates case studies. | core
indicate | /ˈɪndɪkeɪt/ | v. | 表明，指示 | The graph indicates a steady decline. | core
maintain | /meɪnˈteɪn/ | v. | 维持；主张 | He maintains that the data is unreliable. | core
mitigate | /ˈmɪtɪɡeɪt/ | v. | 缓解 | Planting trees mitigates the heat island effect. | core
monitor | /ˈmɒnɪtə(r)/ | v. | 监测，监控 | Sensors monitor pollution levels hourly. | core
obtain | /əbˈteɪn/ | v. | 获得 | Permission must be obtained in advance. | core
perceive | /pəˈsiːv/ | v. | 察觉，认为 | Risk is perceived differently across cultures. | core
prioritise | /praɪˈɒrətaɪz/ | v. | 优先处理 | The government prioritised housing over roads. | core
promote | /prəˈməʊt/ | v. | 促进；推广 | Campaigns promote healthy eating. | core
restrict | /rɪˈstrɪkt/ | v. | 限制 | Some cities restrict private cars downtown. | core
stimulate | /ˈstɪmjuleɪt/ | v. | 刺激，激发 | Lower rates stimulate consumer spending. | core
undermine | /ˌʌndəˈmaɪn/ | v. | 损害，削弱 | Corruption undermines public trust. | core
undertake | /ˌʌndəˈteɪk/ | v. | 承担，着手 | The university undertook a large survey. | core
utilise | /ˈjuːtəlaɪz/ | v. | 利用 | Solar panels utilise rooftop space. | core
widen | /ˈwaɪdn/ | v. | 扩大，加宽 | Gap between rich and poor has widened. | core
