# word | phonetic | pos. | meaning | example | topic
lithosphere | /'liθәu.sfiә/ | n. | 岩石圈, 陆界；岩石圈 |  | culture
methodical | /mi'θɒdikl/ |  | a. 有方法的, 有系统的 |  | technology
unaided | /.ʌn'eidid/ |  | a. 无助的, 未受协助的 |  | general
tortuous | /'tɒ:tʃuәs/ |  | a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗；纡曲的, 弯曲的 |  | general
watertight | /'wɒtәtait/ |  | a. 不透水的, 不漏水的, 无懈可击的；不透水的 |  | general
indiscriminately | /ˌɪndɪ'skrɪmɪnətlɪ/ | adv. | 无差别, 任意地；不分青红皂白地 |  | general
industrious | /in'dʌstriәs/ |  | a. 勤勉的, 刻苦的 |  | general
sparsely | /spɑ:slɪ/ | adv. | 稀疏地；稀少地 |  | general
docile | /'dәusail/ |  | a. 容易教的, 温顺的 |  | work
sparingly |  | adv. | 节约地, 爱惜地, 吝惜地, 少量地, 贫乏 |  | general
comical | /'kɒmikәl/ |  | a. 好笑的, 滑稽的 |  | general
finesse | /fi'nes/ | n. | 策略, 手段, (桥牌中的)飞牌；v. 用计谋处理, 出小牌 |  | general
scrupulously |  | adv. | 严谨, 一丝不苟, 用心, 准确, 多顾虑 |  | general
rapidity | /rә'piditi/ | n. | 迅速, 急速, 速度 |  | general
averse | /ә'vә:s/ |  | a. 不愿意的, 反对的 |  | general
unpalatable | /.ʌn'pælәtәbl/ |  | a. 不可口的, 味道差的, 不好吃的 |  | general
prohibitive | /prә'hibitiv/ |  | a. 禁止的, 禁止性的；禁止性的, 抑制的 |  | economy
abject | /'æbdʒekt/ |  | a. 绝望无助的, 可怜的, 糟透的, 卑鄙；卑鄙的, 卑下的, 可怜的 |  | general
temperamental | /.temprә'mentl/ |  | a. 气质的, 性格的, 易兴奋的 |  | general
intrepid | /in'trepid/ |  | a. 无畏的, 勇猛的 |  | general
excitable | /ik'saitәbl/ |  | a. 能被激动的, 易兴奋的, 易怒的；应激的, 兴奋的 |  | general
proficient | /prә'fiʃәnt/ | n. | 高手, 专家；a. 精通的, 熟练的 |  | general
