# word | phonetic | pos. | meaning | example | topic
addiction | /əˈdɪkʃn/ | n. | 成瘾 | Social media addiction is debated. | health
ailment | /ˈeɪlmənt/ | n. | 小病 | Minor ailments are treated at home. | health
chronic | /ˈkrɒnɪk/ | adj. | 慢性的 | Chronic stress weakens immunity. | health
diagnosis | /ˌdaɪəɡˈnəʊsɪs/ | n. | 诊断 | Early diagnosis improves survival. | health
dietary | /ˈdaɪətəri/ | adj. | 饮食的 | Dietary habits change with income. | health
epidemic | /ˌepɪˈdemɪk/ | n. | 流行病 | Obesity is described as an epidemic. | health
immune | /ɪˈmjuːn/ | adj. | 免疫的 | Sleep strengthens the immune system. | health
infectious | /ɪnˈfekʃəs/ | adj. | 传染的 | Infectious diseases spread quickly in cities. | health
insomnia | /ɪnˈsɒmniə/ | n. | 失眠 | Insomnia affects one in five adults. | health
mental | /ˈmentl/ | adj. | 心理的，精神的 | Mental health services are underfunded. | health
nutritious | /njuˈtrɪʃəs/ | adj. | 有营养的 | School meals must be nutritious. | health
obesity | /əʊˈbiːsəti/ | n. | 肥胖 | Childhood obesity has tripled. | health
prescription | /prɪˈskrɪpʃn/ | n. | 处方 | Prescriptions are free for pensioners. | health
preventive | /prɪˈventɪv/ | adj. | 预防的 | Preventive care saves money. | health
sedentary | /ˈsedntri/ | adj. | 久坐的 | Sedentary lifestyles cause back pain. | health
symptom | /ˈsɪmptəm/ | n. | 症状 | Common symptoms include fatigue. | health
therapy | /ˈθerəpi/ | n. | 治疗，疗法 | Talking therapy helped most patients. | health
vaccine | /ˈvæksiːn/ | n. | 疫苗 | The vaccine was rolled out in spring. | health
aesthetic | /iːsˈθetɪk/ | adj. | 审美的 | The building has aesthetic value. | culture
antique | /ænˈtiːk/ | n. | 古董 | The museum displays Roman antiques. | culture
celebrity | /səˈlebrəti/ | n. | 名人 | Celebrity culture influences teenagers. | culture
craft | /krɑːft/ | n. | 手工艺 | Traditional crafts are disappearing. | culture
cultural | /ˈkʌltʃərəl/ | adj. | 文化的 | Cultural differences affect communication. | culture
custom | /ˈkʌstəm/ | n. | 习俗 | Local customs attract tourists. | culture
heritage | /ˈherɪtɪdʒ/ | n. | 遗产，传统 | The site is a world heritage area. | culture
identity | /aɪˈdentəti/ | n. | 身份认同 | Language shapes national identity. | culture
indigenous | /ɪnˈdɪdʒənəs/ | adj. | 本土的，原住民的 | Indigenous languages need protection. | culture
media | /ˈmiːdiə/ | n. | 媒体 | Social media shapes public opinion. | culture
monument | /ˈmɒnjumənt/ | n. | 纪念碑 | The monument attracts two million visitors. | culture
ritual | /ˈrɪtʃuəl/ | n. | 仪式 | Tea drinking is a daily ritual. | culture
tourism | /ˈtʊərɪzəm/ | n. | 旅游业 | Mass tourism damages old towns. | culture
