# word | phonetic | pos. | meaning | example | topic
extravagantly | /ɪk'strævəɡəntlɪ/ | adv. | 挥霍无度地 |  | environment
cellophane | /'selәufein/ | n. | 玻璃纸；赛璐玢 |  | general
recessionary | /ri'seʃәnәri/ |  | a. (经济)衰退的, 衰退期的 |  | economy
racially | /'reiʃәli/ | adv. | 按人种, 人种上 |  | general
neoconservative | /,ni:әjkәn's\\\\:vәtiv/ |  | <美>n.(前自由派在政治上转向保守的) 新 |  | general
jeweled |  |  | a. 用宝石装饰的, 有宝石的, 镶有宝石的 |  | general
penknife | /'pennaif/ | n. | 袖珍折刀 |  | general
netball | /'netbɒ:l/ | n. | 无挡板蓝球 |  | general
insincere | /.insin'siә/ |  | a. 不诚实的, 无诚意的, 伪善的 |  | general
campy | /'kæmpi/ |  | a. 一副下流相的, 忸怩作态的 |  | health
frightfully |  | adv. | 可怕地, (非正式)非常地 |  | general
formica | /fɔ:'maikә/ | n. | 胶木 |  | general
bodybuilding |  | n. | 健美 |  | general
comically |  | adv. | 滑稽地；诙谐地 |  | general
meatloaf | /mi:t'ləʊf/ | n. | 烘肉卷 |  | general
autumnal | /ɒ:'tʌmnәl/ |  | a. 秋的, 秋天的 |  | general
absolution | /æbsә'lu:ʃәn/ | n. | 免罪, 赦免, 免除；免罚, 赦免, 免除 |  | general
unstated |  |  | a. 未声明的, 未明确说明的 |  | general
soberly |  | adv. | 严肃地；冷静地 |  | general
merriment | /'merimәnt/ | n. | 欢喜, 嬉戏 |  | general
divinely | /di'vainli/ | adv. | 象神一样地, 凭神的力量, 极度地 |  | general
dispassionately | /dɪs'pæʃənətlɪ/ | adv. | 不动感情地, 冷静地；平心静气 |  | culture
postoperatively |  | adv. | postoperative的变形 |  | general
valedictorian | /,vælidik'tɔ:riәn/ | n. | 致告别辞者,告别演说者 |  | education
admiringly | /әd'maiәriŋli/ | adv. | 钦佩地, 羡慕地 |  | general
unpleasantly | /ʌn'plezntli/ | adv. | 令人不愉快地, 不讨人喜欢地 |  | general
unfeeling | /.ʌn'fi:liŋ/ |  | a. 无感觉的, 无情的, 冷酷的 |  | general
winless | /'winlis/ |  | a. (运动比赛)未获胜的,未赢的,每次交战 |  | general
scaly | /'skeili/ |  | a. 有鳞的, 鳞状的, 覆有鳞片的, 积垢；鳞状的, 有鳞屑的 |  | culture
furtively | /'fɜ:tɪvlɪ/ | adv. | 偷偷地, 秘密地 |  | general
coexistence | /.kәuig'zistәns/ | n. | 共存, 和平共处, 并立 |  | general
caviar | /'kæviɑ:/ | n. | 鱼子酱；鱼子酱 |  | general
cancerous | /'kænsәrәs/ |  | a. 癌的, 似癌的, 生癌的；癌性的 |  | general
genie | /'dʒi:ni/ | n. | 妖怪, 鬼 |  | culture
expectantly |  | adv. | 期待, 期待着, 期望, 预期 |  | general
contemporaneous | /kәn.tempә'reinjәs/ |  | a. 同时期的, 同时代的 |  | general
humorless | /'hju:mәlis/ |  | a. 缺乏幽默感的, 非常严肃的, 一本正经 |  | general
probationary | /prәj'beiʃәnәri/ |  | a. 试用的, 预备期的, 见习的, 缓刑中；试用的, 见习的, 缓刑的 |  | general
erectile | /i'rektil/ |  | a. 可直立的, 能勃起的；能勃起的, 能竖立的 |  | general
pantyhose | /'pæntihәuz/ | n. | 连裤袜 |  | general
interpretive | /in'tә:pritiv/ |  | 解释的, 翻译的 |  | general
gunpoint | /'^ʌnpɔint/ | n. | 枪口 |  | general
podcast |  | n. | 播客 |  | technology
shtick | /ʃtik/ | n. | 滑稽场面, 特色 |  | economy
jackass | /'dʒækæs/ | n. | 公驴, 愚蠢的人, 傻瓜 |  | general
tuppence | /'tʌpәns/ | n. | 两便士, 两便士银币 |  | general
heraldic | /he'rældik/ |  | a. 纹章学的, 纹章的, 传令官的 |  | general
budgie | /'bʌdʒi/ | n. | (budgerigar之略), 相思鹦鹉 |  | general
priestly | /'pri:stli/ |  | a. 祭司的 |  | general
muller | /'mʌlә/ | n. | 磨杵, 粉碎机, 研磨机；平底乳钵(研磨器) |  | general
ornery | /'ɒ:nәri/ |  | a. 下等的, 低劣的, 脾气坏的, 故意刁 |  | general
pluralistic | /.pluәrә'listik/ |  | a. 兼职的, 多元论的 |  | general
otherness | /'ʌðәnis/ | n. | 相异, 不同, 差异性 |  | general
logistic | /lәu'dʒistik/ |  | a. 逻辑的, 后勤学的 |  | general
congresswoman | /'kɒŋgreswumәn/ | n. | 国会女议员, 众议院女议员 |  | general
caffeine | /'kæfi:n/ | n. | 咖啡因, 咖啡碱；咖啡因 |  | general
carburetor | /kɑ:bә'retә(r); (?@) 'kɑ:rbәreitәr/ |  | 增碳器；汽化器 |  | environment
humongous | /hju:'mʌŋ^әs/ |  | a. <俚>极大的,其大无比的 |  | general
coca | /'kәukә/ | n. | 古柯, 古柯叶；古柯 |  | general
unbounded | /.ʌn'baundid/ |  | a. 无边的, 无限的, 无节制的 |  | general
chromium | /'krәumiәm/ | n. | 铬；铬Cr |  | general
flaxseed | /'flækssi:d/ | n. | 亚麻子, 亚麻仁；亚麻子 |  | general
cavendish | /'kævәndiʃ/ | n. | 板烟 |  | culture
omega | /'әumigә/ | n. | 希腊字母的最后一个字, 终了, 最后；ω(希腊文第二十四个字母) |  | general
rationalism | /'ræʃәnәlizm/ | n. | 合理主义, 理性论, 纯理论 |  | culture
uncompromisingly | /ʌn'kɒmprəmaɪzɪŋlɪ/ | adv. | 坚决地, 不妥协地 |  | general
sterility | /ste'riliti/ | n. | 不毛, 不孕, 内容贫乏；不育, 不孕 |  | general
southernmost | /'sʌð(ә)nmәjst/ |  | a. 最南的 |  | culture
nervy | /'nә:vi/ |  | a. 有勇气的, 易激动的 |  | general
misleadingly | /mis'li:diŋli/ | adv. | 误导地 |  | general
allspice | /'ɒ:lspais/ | n. | 多香果；披门他, 玉桂子, 牙买加胡椒 |  | general
gleeful | /'gli:ful/ |  | a. 愉快的 |  | general
egotistical | /.egәu'tistikәl/ |  | a. 自我本位的, 自负的 |  | general
aloofness | /ə'lu:fnis/ | n. | 冷漠；高傲 |  | general
workmanlike | /'w\\\\:kmәnlaik/ |  | a. 工作熟练的, 有技巧的, 精巧的 |  | work
unimpressive | /.ʌnim'presiv/ |  | a. 不惹人注意的, 给人印象不深的 |  | general
unimpeded | /,ʌnim'pi:did/ |  | 无阻的, 不受阻的 |  | general
unfilled | /'ʌn'fild/ |  | a. 未填充的, 空的 |  | general
uncomprehending | /ʌnkɔmpri'hendiŋ/ |  | a. 不了解的,不谅解的 |  | general
thither | /'θiðә/ |  | a. 位于那一边的, 向那边的；adv. 到那儿, 向那方 |  | general
musculoskeletal | /,mʌskjulәu'skelitәl/ |  | a. 肌与骨骼的；肌骨胳的 |  | general
studious | /'stju:djәs/ |  | a. 爱好学问的, 用功的, 勤学的, 故意 |  | general
overkill | /'әuvәkil/ | n. | 超量毁伤, 过度杀伤威力；vt. 过度地杀伤 |  | culture
jumpy | /'dʒʌmpi/ |  | a. 跳跃的, 跳动的, 神经质的 |  | general
irrefutable | /i'refjutәbl/ |  | a. 不能反驳的, 不能驳倒的；不可辩驳的, 不可否认的 |  | general
harmlessly |  | adv. | 无害地；无恶意地 |  | general
cataclysmic | /,kætә'klizmik/ |  | a. 洪水的, 灾变的, 政治和社会大变动的 |  | society
benighted | /bi'naitid/ |  | a. 赶路到天黑的, 陷入黑暗的, 愚昧的 |  | culture
alleviation | /ә.li:vi'eiʃәn/ | n. | 减轻, 缓和, 镇痛物；减轻, 缓和 |  | general
windowless |  |  | a. 无窗的 |  | general
wariness | /'wєәrinis/ | n. | 谨慎, 注意, 小心 |  | general
varicose | /'værikәus/ |  | a. 肿胀的, 静脉曲张的 |  | general
unsurpassed | /.ʌnsә'pæst/ |  | a. 未被超越的, 非常卓越的 |  | general
disparagingly | /dɪ'spærɪdʒɪŋlɪ/ | adv. | 以贬抑的口吻, 以轻视的态度 |  | general
blasphemous | /'blæsfәmәs/ |  | a. 亵渎神明的, 不敬神的；侮辱性的, 诽谤性的 |  | general
prehistory | /.pri:'histәri/ | n. | 史前学, 史前史, 历史背景；史前的, 史前考古学, 史前背景 |  | culture
doubleheader |  | n. | 双车头火车 |  | general
greedily | /'gri:dili/ | adv. | 贪食地, 贪婪地 |  | general
doddle |  | n. | 儿戏, 易如反掌的事 |  | general
spyware |  |  | 间谍软件；后门程式 |  | technology
diagrammatic | /,daiә^rә'mætik/ |  | a. 图解的, 图式的, 图表的；图表的 |  | general
lauder |  | n. | 瞒汇漏税；洗矿槽（流槽, 出铁槽, 槽洗机） |  | culture
uncompetitive | /ˌʌnkəmˈpetətɪv/ |  | a. 无竞争力的 |  | general
thinness | /'θinis/ | n. | 薄, 细, 瘦；薄, 弱 |  | general
naturalness | /'nætʃәrәlnis/ | n. | 自然, 当然 |  | environment
aground | /ә'graund/ | adv. | 搁浅地, 地面上 |  | general
transparently |  | adv. | 显然地, 易觉察地；明亮地 |  | general
retaliatory | /ri'tæliәtәri/ |  | a. 报复的；报复性的 |  | general
pricey | /'praisi/ |  | a. 昂贵的, 价格高的 |  | economy
evaluative | /i'væljueitiv/ |  | a. 可估价的 |  | general
collegiate | /kә'li:dʒiәt/ |  | a. 学院的；集体组织的, 合议的, 大学的 |  | education
behaviorist |  | n. | 行为主义者；行为主义者 |  | general
unrivaled |  |  | a. 无敌的, 无双的, 无可匹敌的, 无比 |  | general
niacin | /'naiәsin/ | n. | 烟碱酸；烟酸 |  | general
grayish | /'greiiʃ/ |  | a. 浅灰色的, 微带灰色的 |  | culture
poignancy | /'pɒinәnsi/ | n. | 辛酸, 强烈, 深刻, 辛辣 |  | general
limply | /'limpli/ | adv. | 跛行地, 勉强地 |  | general
intercontinental | /,intә,kɔnti'nentl/ |  | a. 大陆间的, 洲际的 |  | general
editorship | /'editәʃip/ | n. | 编辑的职位, 编辑工作 |  | work
crisply | /krɪsplɪ/ | adv. | 酥脆地, 爽快地 |  | general
convalescence | /.kɒnvә'lesns/ | n. | 渐愈, 恢复期；恢复(期), 康复(期) |  | general
hermes | /'h\\\\:mi:z/ | abbr. | 重放射性同位素电磁分离器（heavy ele |  | economy
nonchalantly | /'nɒnʃələntlɪ/ | adv. | 漠不关心地, 无动于衷地 |  | general
fallout | /'fɒ:laut/ | n. | 原子尘的降下, 辐射性微尘, 原子尘, 附带；回降 |  | culture
alphabetically | /.ælfә'betikәli/ | adv. | 按字母顺序地 |  | general
tersely | /tɜ:slɪ/ | adv. | 简洁地, 精练地 |  | general
pus | /pʌs/ | n. | 脓, 脓汁；脓 |  | general
hungrily | /'hʌŋɡrəlɪ/ | adv. | 饥饿地；渴望地, 贪婪地 |  | general
elitism | /ei'litizm/ | n. | 精英主义 |  | society
daimler |  | n. | 戴姆勒（英国的高级汽车名） |  | technology
atonement | /ә'tәunmәnt/ | n. | 赎罪, 补偿；补偿, 赎回, 赎罪 |  | general
zagreb | /'zɑ:^reb/ | n. | 萨格勒布（南斯拉夫西北部城市） |  | society
