# word | phonetic | pos. | meaning | example | topic
whitetail | /'waitteil/ | n. | 白尾鹿 |  | general
heartily | /'hɑ:tili/ | adv. | 衷心地, 真实地, 热心地 |  | culture
acquiescence | /.ækwi'esәns/ | n. | 默许, 默认；默许, 默认 |  | general
immaterial | /.imә'tiәriәl/ |  | a. 非物质的, 无形的, 精神的；非物质的, 无形的, 非实质的 |  | health
outwardly | /'ajtwәdli/ | adv. | 表面上, 在外, 外表上 |  | general
commendable | /kә'mendәbl/ |  | a. 值得赞美的, 很好的 |  | general
archetypal | /'ɑ:kitaipl/ |  | a. 原型的 |  | general
perpetually |  | adv. | 永恒地, 持久地 |  | general
ominously | /'ɒmɪnəslɪ/ | adv. | 恶兆地, 不吉利地；预示地 |  | general
achievable | /ә'tʃi:vәbl/ |  | a. 做得成的, 可完成的, 可有成就的 |  | general
charing | /'tʃɑ:riŋ/ |  | 炭化 |  | general
provisionally |  | adv. | 临时地, 暂时地 |  | general
nightly | /'naitli/ |  | a. 每夜的, 夜间的；adv. 每夜 |  | general
ridiculously |  | adv. | 可笑, 滑稽, 荒谬 |  | general
grudgingly | /'grʌdʒiŋli/ | adv. | 勉强地；不情愿地 |  | general
upholstery | /ʌp'hәulstәri/ | n. | 家具被覆材料, 家具装饰用品业 |  | general
unhappily | /.ʌn'hæpili/ | adv. | 不幸福地, 不幸地 |  | general
undercover | /.ʌndә'kʌvә/ |  | a. 秘密从事的, 秘密的, 从事间谍活动的；暗中从事的, 秘密的 |  | general
symbolically | /sɪm'bɒlɪklɪ/ | adv. | 象征性地 |  | general
gruelling |  |  | a. 折磨人的, 使人精疲力尽的；n. 痛打, 惩罚 |  | general
fullness | /'fulnis/ | n. | 满, 充满, 丰富；发胀 |  | general
childless | /'tʃaildlis/ |  | a. 无儿女的 |  | general
anti | /'ænti/ | n. | 反对者, 反对论者；a. 反对的 |  | society
nay | /nei/ | adv. | 否, 不, 不仅如此；n. 拒绝, 反对, 投反对票 |  | general
slowness | /'slәunis/ | n. | 缓慢, 迟钝 |  | general
profusion | /prә'fju:ʒәn/ | n. | 大量, 慷慨, 挥霍, 充沛, 浪费 |  | general
impressively |  | adv. | 令人难忘地；感人地 |  | general
likable | /'laikәbl/ |  | a. 可爱的 |  | general
impossibly | /im'pɒsәbli/ | adv. | 不可能地, 难以置信地 |  | general
intuitively |  |  | 直觉地 |  | general
footage | /'futidʒ/ | n. | 英尺长度, 英板尺, (影片的)连续镜头 |  | general
concurrently |  |  | 并行地 |  | general
nominally | /'nɒminәli/ | adv. | 有名无实地, 名义上地, 名称上 |  | general
defensively | /di'fɛnsivli/ | adv. | 防御地；守势地 |  | general
academically | /.ækә'demikәli/ | adv. | 学术上；学业上 |  | education
pullout | /'pulaut/ | n. | 拔, 拉, 撤退 |  | general
electronically |  | adv. | 电子地 |  | technology
effortless | /'efәtlis/ |  | a. 容易的, 不费力气的 |  | general
sorely | /'sɒ:li/ | adv. | 疼痛地, 强烈地, 非常 |  | general
playful | /'pleiful/ |  | a. 爱打趣的, 多趣的, 开玩笑的, 嬉戏 |  | general
marvellously | /'mɑ:vələslɪ/ | adv. | 绝妙地, 惊奇地, 不可思议地 |  | general
hopelessness | /'həʊpləsnəs/ |  | 绝望 |  | general
hapless | /'hæplis/ |  | a. 倒霉的, 不幸的 |  | general
reputedly | /ri'pju:tidli/ | adv. | 据说, 根据风评 |  | general
anyplace | /'enipleis/ | adv. | 在任何地方 |  | general
stubbornly |  | adv. | 倔强地；顽固地 |  | general
crosstalk | /'krɔs,tɔ:k/ |  | 串扰, 串音, 串话 |  | general
negatively | /'ne^әtivli/ | adv. | 否定地, 消极地 |  | general
businesslike | /'biznislaik/ |  | a. 有条理的, 有效率的 |  | economy
unattended | /.ʌnә'tendid/ |  | a. 无人出席的, 无随员的, 无侍从的 |  | general
recklessly |  | adv. | 不注意, 粗心大意, 不在乎, 鲁莽, 不顾 |  | general
bloodshed | /'blʌdʃed/ | n. | 流血 |  | general
trailhead | /'treilhed/ | n. | 小道的起点 |  | general
smolder | /'smәuldә/ | v. | 闷烧, 郁积；n. 闷烧 |  | general
walleye | /'wɔ:lai/ | n. | 角膜白斑, 白眼, 散开性斜视；角膜白斑, 散开性斜视, 外斜视 |  | general
notional | /'nәuʃәnәl/ |  | a. 概念的, 想像的；名义上的 |  | economy
hairdressing | /'hєәdresiŋ/ | n. | 理发, 美发 |  | general
unsightly | /ʌn'saitli/ |  | a. 不悦目的, 不雅观的, 难看的, 丑陋 |  | general
flavorful | /'fleivәfjl/ |  | a. 充满...味道的, 可口的 |  | general
proportionately | /prə'pɔ:ʃənətlɪ/ | adv. | 成比例地, 相称地 |  | general
mercifully |  | adv. | 仁慈地 |  | general
ballplayer | /'bɔ:l,pleiә(r)/ | n. | 棒球手 |  | general
multicolored |  |  | a. 多种色彩的, 五彩缤纷的 |  | general
drunkenness |  |  | 醉酒, 酒醉 |  | general
truthfully |  | adv. | 诚实地；深信不疑地 |  | general
tearful | /'tiәful/ |  | a. 含泪的, 使人流泪的, 流泪的 |  | general
passivity | /pæ'siviti/ | n. | 被动, 被动性, 无抵抗, 钝性, 被动结构；钝态 |  | general
insufficiently | /ˌɪnsə'fɪʃntlɪ/ | adv. | 不够地, 不能胜任地 |  | general
divisive | /di'vaisiv/ |  | a. 区分的, 制造分裂的, 造成不和的 |  | general
stonework | /'stәjnw\\\\:k/ | n. | 石造物, 建筑物的石造部分, 石方工程, 石 |  | technology
defenceless | /di'fenslis/ |  | a. 无防御的, 没有保护的, 无助的, 无 |  | general
continuance | /kәn'tinjuәns/ | n. | 继续, 停留, 持续；继续, 延续, 诉讼延期 |  | general
unprofitable | /.ʌn'prɒfitәbl/ |  | a. 无利益的, 不赚钱的, 不上算的；无利可图的, 无益的 |  | general
gunfire | /'gʌnfaiә/ | n. | 炮火, 号炮报时, 炮击 |  | general
autocratic | /.ɒ:tә'krætik/ |  | a. 独裁的, 专制的 |  | general
remoteness | /ri'mәutnis/ | n. | 远离, 远隔, 微少；遥远, 间接, 疏远 |  | general
toughness | /'tʌfnis/ | n. | 有粘性, 强硬, 强健；韧性 |  | general
awash | /ә'wɒʃ/ |  | a. 与水面齐平的, 被浪冲打的 |  | general
jalapeno | /,hɑ:lә'peijәu/ |  | 墨西哥胡椒 |  | general
unnaturally | /ʌn'nætʃrəlɪ/ | adv. | 违反习俗地；不自然地 |  | environment
electrically | /i'lektrikәli/ | adv. | 电力地；有关电地 |  | general
wherein | /hwєәr'in/ | adv. | 在哪方面, 在那方面 |  | general
unaltered | /ʌn'ɒ:ltәd/ |  | a. 未被改变的, 不变的, 照旧的, 依然 |  | general
selectively |  | adv. | 有选择地 |  | general
correctness |  |  | 正确性；正确性 |  | society
completeness | /kәm'pli:tnis/ | n. | 完全；完整性 |  | general
undisputed | /.ʌndis'pju:tid/ |  | a. 无可争辩的, 无异议的；无需争论的, 无疑问的, 确然无疑的 |  | general
physiotherapy | /.fiziә'θerәpi/ | n. | 物理疗法, 理疗；物理治疗, 理疗 |  | health
cylindrical | /si'lindrik(ә)l/ |  | a. 圆柱体的, 圆筒形的；圆柱形的, 圆柱体的, 圆筒形的, 柱面的 |  | general
merrily | /'merili/ | adv. | 愉快地, 高兴地 |  | general
wistfully | /'wɪstfəlɪ/ | adv. | 惆怅地, 渴望地 |  | general
pas | /pɑ:/ | n. | 优先权, 舞步, 舞；光声谱法 |  | general
alcoholism | /'ælkәhɒlizәm/ | n. | 酗酒, 酒精中毒；酒中毒 |  | health
lavishly | /'læviʃli/ | adv. | 浪费地, 丰富地 |  | general
enviable | /'enviәbl/ |  | a. 令人羡慕的, 可羡慕的 |  | general
intensively |  | adv. | 强烈地；集中地 |  | general
