# word | phonetic | pos. | meaning | example | topic
radon | /'reidɒn/ | n. | 氡；氡Rn |  | health
sedimentation | /.sedimen'teiʃәn/ | n. | 沉淀, 沉积；沉积作用 |  | general
sera | /'siәrә/ |  | 浆液, 血清；血清 |  | general
hoarsely | /hɔ:slɪ/ | adv. | 嘶哑地, 刺耳地 |  | general
zeta | /'zi:tә. 'zei-/ | n. | 希腊语第六个字母 |  | general
spectroscopy | /spek'trɒskәpi/ | n. | 光谱学；光谱学 |  | general
bertha | /'bә:θә/ | n. | 女式上衣的宽领 |  | general
binocular | /bi'nɒkjulә/ |  | a. 同时用两眼的, 两眼并用的；双眼的, 双目镜 |  | general
autonomic | /.ɒ:tәu'nɒmik/ |  | a. 自治的, 自主的；自主的 |  | general
gonorrhoea | /,^ɔnә'ri:ә/ | n. | 淋病 |  | health
vacationer | /vә'keiʃənә(r),vei-/ | n. | 休假者；度假者 |  | general
biomass | /'baiәumæs/ | n. | 生物量；生物质 |  | environment
postmodern | /pәust'mɔdәn/ |  | a. 后现代的 |  | general
corporatism | /'kɔ:pәrәtizәm/ | n. | '各阶级合作'主义 |  | work
icc |  | abbr. | 国际商会（International Cha；国际计算中心（International C |  | general
chromatography | /.krәumә'tɒgrәfi/ | n. | 色谱法；色谱法 |  | general
huskily | /'hʌskili/ | adv. | 嘎声地 |  | general
intifada | /'ɪntɪfeɪdə/ | n. | (1987年底爆发的)以色列占领区的巴勒斯坦 |  | general
recliner | /ri'klainә/ | n. | 躺椅 |  | general
dal | /dɑ:l/ | n. | 木豆（等于dhal ）；木豆做的菜 |  | general
fer |  |  | pref. 带, 拿来 |  | general
marzipan | /,mɑ:zi'pæn/ | n. | 果仁糖浆 |  | general
inhibitory | /in'hibitәri/ |  | a. 禁止的, 抑制的；抑制的 |  | general
labeling |  |  | 贴标签 |  | general
pragmatics | /præg'mætiks/ | n. | 语用学；语用学 |  | culture
barium | /'bєәriәm/ | n. | 钡；钡Ba |  | culture
indie | /'indi/ | n. | 独立制片人, 独立制作的影(唱)片 |  | general
venous | /'vi:nәs/ |  | a. 静脉的, 在静脉中的, 有脉的；静脉的 |  | general
intracellular | /,intrә'seljulә/ |  | a. 胞内的, 细胞内的；细胞内的 |  | general
cretaceous | /kri'teiʃәs/ |  | a. 白垩系的, 白垩纪的；n. 白垩纪, 白垩系 |  | general
downtime | /'dauntaim/ | n. | 停工期；故障停机时间 |  | technology
homoeopathic | /,hәumjәu'pæθik/ |  | a. 顺势疗法的 |  | general
homologous | /hɒ'mɒlәgәs/ |  | a. 相应的, 同源的, 一致的；同种的(组织,血清), 同系的(化合物) |  | environment
plenum | /'pli:nәm/ | n. | 充实, 充满 |  | general
gluten | /'glu:tn/ | n. | 面筋, 麸质；谷蛋白 |  | general
arugula | /ә'ru:^әlә/ | n. | 芝麻菜 |  | general
agrippa |  |  | 臀式生产儿 |  | work
myocardial | /,maiәu'kɑ:diәl/ |  | a. 心肌的；心肌的 |  | general
pathogenesis | /,pæθә'dʒenisis/ | n. | 致病, 发病；发病机理 |  | health
caddie | /'kædi/ | n. | 球童；vi. 当球童 |  | general
dicey | /'daisi/ |  | a. 不确定的, 危险的, 冒险性的 |  | general
radiocarbon | /.reidiәu'kɑ:bәn/ | n. | 放射性碳, 碳-14；放射性碳 |  | environment
cytoplasmic | /.saitә'plæzmik/ |  | a. 细胞质的；胞质的, 胞浆的 |  | general
ventricular | /ven'trikjulә/ |  | a. 心室的, 膨胀的 |  | culture
homoeopathy | /,hәumi'ɔpәθi/ | n. | 顺势疗法 |  | health
apical | /'æpikl/ |  | a. 顶端的；尖的, 尖端的 |  | general
mesquite | /'meski:t/ | n. | 豆科灌木（产于美国西南部和墨西哥） |  | general
geomorphology | /,dʒi:әumɔ:'fɔlәdʒi/ | n. | 地形学 |  | general
shareware |  |  | 试用软件 |  | technology
coffeehouse |  | n. | 咖啡馆 |  | general
deixis | /'daiksis/ | n. | (定冠词、指示代词等的)指示功能, 直示(系 |  | culture
reconstructive | /.ri:kәn'strʌktiv/ |  | a. 再建的, 改造的 |  | general
interoperability | /'intәr,ɔpərә'bilәti/ |  | 互用性, 互操作性 |  | technology
omeprazole | /əʊ'meprəˌzəʊl/ |  | 奥美拉唑洛赛克, H2受体拮抗剂, 治疗消化 |  | health
blacktop | /'blæktɒp/ | n. | 沥青, 柏油路 |  | general
indomethacin | /,indәu'meθәsin/ | n. | 消炎痛 |  | health
antral |  |  | a. 窦, 室, 房；窦的 |  | general
cholangitis | /,kәulæn'dʒaitis/ | n. | 胆管炎；胆管炎 |  | general
antislavery | /.ænti'sleivәri/ | n. | 反对奴隶制；a. 反对奴隶制度的 |  | society
matey | /'meiti/ |  | a. 易为人亲近的, 融洽的；n. 伙伴, 朋友 |  | general
washcloth | /'wɒʃklɒθ/ | n. | 毛巾, 浴巾 |  | general
starkly |  | adv. | 完全, 分明地, 赤裸裸地 |  | general
tireless | /'taiәlis/ |  | a. 不疲倦的, 不厌倦的, 不屈不挠的 |  | general
impeachable | /im'pi:tʃәbl/ |  | a. 可控告的, 可弹劾的, 可怀疑的；可控告的, 可弹劾的, 可怀疑的 |  | society
uninteresting | /.ʌn'intәristiŋ/ |  | a. 引不起兴趣的, 无趣味的, 乏味的 |  | general
smallmouth | /'smɔ: lmajθ/ | n. | 小口黑鲈 |  | general
deplorable | /di'plɒ:rәbl/ |  | a. 可叹的, 悲惨的, 凄惨的 |  | general
unabashedly | /,ʌnə'bæʃtli/ |  | 老着脸皮 |  | general
magnificently | /mæɡ'nɪfɪsntlɪ/ | adv. | 壮丽地；宏伟地 |  | general
likeable | /'laikәbl/ |  | a. 可爱的, 值得喜欢的, 迷人的 |  | culture
insignificance | /.insig'nifikәns/ | n. | 无关紧要, 低微, 无意义, 无价值 |  | general
thoroughness | /'θʌrәnis. 'θә:rәu-/ | n. | 十分, 完全；彻底 |  | general
doable | /'du:әbl/ |  | a. 可做的, 切实可行的 |  | general
unconvinced |  |  | 不相信, 怀疑的 |  | general
purposely | /'pә:pәsli/ | adv. | 故意地 |  | general
obliquely |  | adv. | 斜, 倾斜, 间接, 不光明正大, 躲躲闪闪 |  | general
assistive | /ə'sɪstɪv/ |  | a. 为残疾人设计的 |  | general
sentimentality | /.sentimen'tæliti/ | n. | 多愁善感；情感生活 |  | general
brevity | /'breviti/ | n. | 短暂, 简短 |  | general
jealously |  | adv. | 嫉妒, 羡慕, 留心, 戒备 |  | general
unstoppable | /ʌnˈstɒpəbl/ |  | a. 无法停止的, 不可阻碍的 |  | general
metaphorically | /ˌmetə'fɒrɪklɪ/ | adv. | 比喻地, 隐喻地 |  | general
medically |  | adv. | 医学, 医疗, 医术, 内科, 医药 |  | health
heartfelt | /'hɑ:tfelt/ |  | a. 衷心的, 真心真意的 |  | general
tacitly | /'tæsɪtlɪ/ | adv. | 肃静地, 沉默地 |  | general
philosophically |  | adv. | 哲学上；贤明地 |  | general
nontoxic | /'nɔn'tɔksik/ |  | a. 无毒的 |  | general
unintelligible | /.ʌnin'telidʒәbl/ |  | a. 无法了解的, 难解的, 莫明其妙的 |  | culture
livable | /'livәbl/ |  | a. 生活过得有价值的, (生活)过得去的 |  | general
unfashionable | /.ʌn'fæʃәnәbl/ |  | a. 不流行的, 不时髦的, 过时的 |  | general
undeveloped | /.ʌndi'velәpt/ |  | a. 未充分发育的, 未开发的 |  | general
creationism | /kri:'eiʃәnizәm/ | n. | 创造宇宙说, 特别创造说 |  | general
startlingly | /'sta:tliŋli/ | adv. | 惊人地 |  | culture
irrevocably | /ɪ'revəkəblɪ/ | adv. | 不能取消地, 不能撤回地 |  | general
intelligently |  | adv. | 聪明地, 明智地 |  | general
cleanly | /'klenli/ |  | a. 爱清洁的, 干净的, 清洁的；adv. 干净地, 利索地, 熟练地 |  | environment
faceless | /'feislis/ |  | a. 无面的, 无个性的, 匿名的, 无名的 |  | general
classically | /'klæsikәli/ | adv. | 古典主义地, 拟古地 |  | culture
junkyard | /'dʒʌŋkjɑ:d/ | n. | 废品旧货栈 |  | general
unimaginative | /.ʌni'mædʒinәtiv/ |  | a. 缺乏想象力的, 无趣的 |  | general
overzealous | /'әjvә'zelәs/ |  | a. 过分热忱的 |  | general
assiduously | /ə'sidʒuəsli/ | adv. | 刻苦地；勤勉地 |  | general
untenable | /.ʌn'tenәbl/ |  | a. 不能防守的, 不能维持的, 支持不住的 |  | general
subconsciously | /ˌsʌb'kɒnʃəslɪ/ | adv. | 潜意识地 |  | general
responsibly |  | adv. | 认真负责地, 可信赖地, 可靠地 |  | general
metastasis | /mә'tæstәsis/ | n. | 转移, 新陈代谢, 移位变化；移位变化 |  | health
creditable | /'kreditәbl/ |  | a. 可称誉的, 声誉好的, 可信的 |  | general
bearable | /'bєәrәbl/ |  | a. 可忍受的, 支承得住的 |  | general
lovable | /'lʌvәbl/ |  | a. 可爱的, 惹人爱的 |  | general
wellbeing |  | n. | 健康, 幸福, 福利, 舒适, 安宁 |  | health
wilfully | /'wɪlfəlɪ/ | adv. | 任性固执地；蓄意地 |  | general
unremarkable | /'ʌnri'mɑ:kәbl/ |  | a. 不显著的, 平凡的, 不值得注意的 |  | education
uninterested | /.ʌn'intәristid/ |  | a. 不感兴趣的, 无利害关系的 |  | general
reveler | /'revlә/ | n. | 狂欢者, 欢宴者 |  | culture
disastrously | /dɪ'zɑ:strəslɪ/ | adv. | 悲惨地 |  | general
perilously | /ˈperɪləslɪ/ | adv. | 充满危险地, 危机四伏地 |  | general
coincidentally |  | adv. | 巧合地；一致地 |  | general
untrained | /.ʌn'treind/ |  | a. 未经训练的 |  | general
unassailable | /.ʌnә'seilәbl/ |  | a. 攻不破的, 不容置疑的, 无懈可击的；无可反驳的, 无懈可击的 |  | society
seamless | /'si:mlis/ |  | a. 无缝的, 无缝合线的；无缝的 |  | general
apnea | /æp'ni:ә/ | n. | 呼吸暂停, 窒息；呼吸暂停, 窒息 |  | general
sagebrush | /'seidʒbrʌʃ/ |  | 三齿嵩 |  | general
boyhood | /'bɒihud/ | n. | 少年时代 |  | general
immeasurably | /i'meʒәrәbli/ | adv. | 不可测量地, 无限地, 广大无边地 |  | general
precariously |  | adv. | 不安全地；不牢靠地 |  | general
observant | /әb'zә:vәnt/ |  | a. 严格遵守...的, 留心的, 当心的；注意的, 留心的, 严格遵守的 |  | general
counterculture | /'kauntәkʌltʃә/ | n. | 反主流文化 |  | culture
undetected | /.ʌndi'tektid/ |  | a. 未被发现的 |  | general
tacky | /'tæki/ |  | a. 发粘的, 破烂的, 俗丽的 |  | general
painless | /'peinlis/ |  | a. 无痛的, 不痛的；无痛的 |  | general
instantaneously |  | adv. | 即刻, 立即 |  | general
energetically | /.enә'dʒetikәli/ | adv. | 精力充沛地, 积极地 |  | general
derision | /di'riʒәn/ | n. | 嘲笑 |  | general
deceptively |  | adv. | 迷惑地, 骗人地；虚伪地 |  | general
unaccompanied | /.ʌnә'kʌmpәnid/ |  | a. 无伴侣的, 无伴随的, 无伴奏的 |  | general
celebratory | /ˌseləˈbreɪtəri/ |  | a. 快乐的, 兴高采烈的 |  | general
unashamedly | /ˌʌnə'ʃeɪmɪdlɪ/ | adv. | 厚颜无耻 |  | general
smoothness | /'smu:ðnis/ | n. | 柔滑, 平滑, 平坦；平稳性 |  | general
penniless | /'penilis/ |  | a. 赤贫的, 贫穷的 |  | general
fluently |  | adv. | 流利地；通畅地 |  | general
especial | /i'speʃәl/ |  | a. 特别的, 特殊的；特别的, 特殊的 |  | general
conscientiously |  | adv. | 认真, 凭良心做, 尽心尽责, 谨慎, 诚心 |  | general
heartless | /'hɑ:tlis/ |  | a. 无情的, 无勇气的 |  | general
decently |  | adv. | 合适地；高雅地 |  | general
aesthetically | /i:s'θetikәli/ | adv. | 美学观点上地；审美地 |  | general
stoplight | /'stɒplait/ | n. | 交通信号灯 |  | general
surreptitiously |  | adv. | 秘密地；偷偷地 |  | general
anonymously |  | adv. | 不具名地；化名地 |  | general
unfulfilled |  |  | 未实现的, 未履行的, 未完成的 |  | general
hauler | /'hɔ:lә/ |  | 绞盘 |  | general
gloriously |  | adv. | 辉煌地；光荣地 |  | general
expensively |  | adv. | 昂贵地；乱花钱地 |  | general
dynamism | /'dainәmizm/ | n. | 物力论, 力本说；动力说, 动力病原论 |  | general
directness | /di'rektnis/ | n. | 笔直, 率直 |  | education
camaraderie | /.kæmә'rɑ:dәri:/ | n. | 友情；同志之爱 |  | general
blissfully | /'blɪsfəlɪ/ | adv. | 幸福地, 充满喜悦地 |  | general
unyielding | /.ʌn'ji:ldiŋ/ |  | a. 不易弯曲的, 不屈的 |  | general
untypical | /ʌnˈtɪpɪkl/ |  | a. 一般 |  | general
