# word | phonetic | pos. | meaning | example | topic
authority | /ɔːˈθɒrəti/ | n. | 当局；权威 | Local authorities manage waste collection. | society
bureaucracy | /bjʊəˈrɒkrəsi/ | n. | 官僚机构 | Bureaucracy slows down reform. | society
censorship | /ˈsensəʃɪp/ | n. | 审查制度 | Censorship limits free expression. | society
citizen | /ˈsɪtɪzn/ | n. | 公民 | Citizens demand cleaner streets. | society
community | /kəˈmjuːnəti/ | n. | 社区 | Community centres reduce isolation. | society
compliance | /kəmˈplaɪəns/ | n. | 遵守 | Compliance with the law is high. | society
demographic | /ˌdeməˈɡræfɪk/ | n. | 人口结构 | An ageing demographic strains pensions. | society
discrimination | /dɪˌskrɪmɪˈneɪʃn/ | n. | 歧视 | Gender discrimination persists at work. | society
enforce | /ɪnˈfɔːs/ | v. | 执行，强制实施 | Police enforce speed limits. | society
equality | /iˈkwɒləti/ | n. | 平等 | Equality of opportunity is a goal. | society
ethnic | /ˈeθnɪk/ | adj. | 民族的 | The city has many ethnic groups. | society
funding | /ˈfʌndɪŋ/ | n. | 资金 | Public funding for arts fell sharply. | society
governance | /ˈɡʌvənəns/ | n. | 治理 | Good governance requires transparency. | society
household | /ˈhaʊshəʊld/ | n. | 家庭 | Average household size is shrinking. | society
inequality | /ˌɪnɪˈkwɒləti/ | n. | 不平等 | Income inequality widened after 2010. | society
infrastructure | /ˈɪnfrəstrʌktʃə(r)/ | n. | 基础设施 | Aging infrastructure needs investment. | society
legislation | /ˌledʒɪsˈleɪʃn/ | n. | 立法 | New legislation took effect in April. | society
migration | /maɪˈɡreɪʃn/ | n. | 迁移 | Rural-to-urban migration continues. | society
offence | /əˈfens/ | n. | 违法行为 | Cycling on pavements is an offence. | society
penalty | /ˈpenəlti/ | n. | 处罚 | The penalty for littering is £100. | society
policy | /ˈpɒləsi/ | n. | 政策 | Housing policy shifted dramatically. | society
poverty | /ˈpɒvəti/ | n. | 贫困 | Child poverty rose last year. | society
regulation | /ˌreɡjuˈleɪʃn/ | n. | 法规 | Stricter regulation reduced accidents. | society
resident | /ˈrezɪdənt/ | n. | 居民 | Residents oppose the new tower. | society
sanction | /ˈsæŋkʃn/ | n. | 制裁 | Economic sanctions were imposed. | society
socialise | /ˈsəʊʃəlaɪz/ | v. | 社交 | Teenagers socialise online more now. | society
subsidy | /ˈsʌbsədi/ | n. | 补贴 | Bus subsidies keep fares low. | society
transparency | /trænsˈpærənsi/ | n. | 透明度 | Transparency builds public trust. | society
urbanisation | /ˌɜːbənaɪˈzeɪʃn/ | n. | 城市化 | Rapid urbanisation strains services. | society
welfare | /ˈwelfeə(r)/ | n. | 社会福利 | Welfare spending rose by 8%. | society
