# word | phonetic | pos. | meaning | example | topic
hopelessly |  | adv. | 绝望地, 无可奈何地 |  | general
boldly | /'bәuldli/ | adv. | 大胆地, 显眼地 |  | general
preparatory | /pri'pærәtәri/ |  | a. 预备性的, 准备性的；n. 预科 |  | general
manageable | /'mænidʒәbl/ |  | a. 易办的, 易管理的, 易控制的 |  | work
lastly | /'lɑ:stli/ | adv. | 最后, 终于 |  | general
vertically | /'vetikli/ | adv. | 垂直地 |  | general
catastrophic | /.kætә'strɒfik/ |  | a. 悲惨的, 灾难的 |  | economy
doubly | /'dʌbli/ | adv. | 加倍地, 双重地；双地 |  | general
ostensibly |  | adv. | 可公开, 显然, 表面, 外表, 诡称, 假 |  | general
unsuccessfully |  | adv. | 无用；失败地 |  | general
sombre | /'sɔmbә(r)/ |  | a. 昏暗的, 阴沉的, 阴暗的, 忧郁的 |  | general
tentatively | /'tentətɪvlɪ/ | adv. | 试验性地, 暂时地；权 |  | general
passionately | /'pæʃənətlɪ/ | adv. | 热情地, 激昂地 |  | general
savior | /'seivjә/ | n. | 救助者, 救世主, 救星 |  | general
faithfully | /'feiθfuli/ | adv. | 忠实地, 诚心诚意地, 深信着地 |  | general
variously | /'veәriәsli/ | adv. | 各种各样, 种种, 不同, 多方面, 多才多 |  | general
thinly | /'θinli/ | adv. | 薄, 细, 瘦 |  | general
disused |  |  | a. 不用, 废弃 |  | environment
almighty | /ɒ:l'maiti/ |  | a. 万能的, 全能的 |  | general
lifelong | /'laiflɒŋ/ |  | a. 终身的, 毕生的 |  | general
dishonest | /dis'ɒnist/ |  | a. 不诚实的；不忠实的, 不诚实的, 欺诈的 |  | general
inherently | /in'hiәrәntli/ | adv. | 内在地, 生来地, 固有地；固有的 |  | general
dearly | /'diәli/ | adv. | 深深地, 昂贵地 |  | economy
suitability | /.sju:tә'biliti/ | n. | 适合, 适当；适合性, 适应性 |  | general
unconsciously | /.ʌn'kɒnʃәsli/ | adv. | 无意识地, 无意中, 不知不觉地 |  | general
childbirth | /'tʃaildbә:θ/ | n. | 分娩；分娩, 生产 |  | work
superbly |  | adv. | 雄伟地；壮丽地 |  | general
analog | /'ænәlɔ^/ |  | 模拟 |  | general
simplistic | /sim'plistik/ |  | a. 过分简单化的 |  | general
pediatric | /.pi:di'ætrik/ |  | a. 小儿科的；儿科的 |  | health
randomly |  | adv. | 偶然, 胡乱, 无目的, 任意, 随便, 任；随机地 |  | general
frantically | /'fræntikli/ | adv. | 狂暴地, 疯狂似地 |  | general
delicately |  | adv. | 优美地；微妙地 |  | general
suspiciously |  | adv. | 猜疑地；怀疑地 |  | general
prostitution | /,prɔsti'tju:ʃәn/ | n. | 卖淫, 糟蹋, 滥用；卖淫, 滥用 |  | education
characteristically | /.kærәktә'ristikli/ | adv. | 表示特性地 |  | general
wooded | /'wudid/ |  | a. 树木繁茂的 |  | general
uncomfortably | /ʌnˈkʌmftəbli/ | adv. | 不舒适地, 不自在地, 令人不快地 |  | general
nonviolent | /nɒn'vaiәlәnt/ |  | a. 非暴力的 |  | general
cornerback | /'kɔ:nәbæk/ | n. | (美式橄榄球)侧卫 |  | general
unmistakable | /'ʌnmis'teikәbl/ |  | a. 不会弄错的, 不会被误解的, 不会搞错 |  | general
favorably | /'feivәrәbli/ | adv. | 顺利地, 亲切地, 好意地 |  | general
gratefully | /'greitfuli/ | adv. | 感激地 |  | general
weakly | /'wi:kli/ |  | a. 弱的, 虚弱的；adv. 微弱地, 虚弱地 |  | general
daycare | /'deikεә/ | n. | 日托；日间照管儿童 |  | general
uneasily | /,ʌn'i:zili/ | adv. | 不自在地；不稳定地 |  | general
teresa | /tә'ri:zә/ | n. | 特里萨（女名） |  | general
culturally |  | adv. | 从文化角度, 文化意义上；在人文学方面 |  | culture
nixon | /'niksn/ | n. | 尼克松（美国第37任总统） |  | general
