# word | phonetic | pos. | meaning | example | topic
biodiversity | /ˌbaɪəʊdaɪˈvɜːsəti/ | n. | 生物多样性 | Biodiversity is declining worldwide. | environment
biodegradable | /ˌbaɪəʊdɪˈɡreɪdəbl/ | adj. | 可生物降解的 | Biodegradable packaging cuts waste. | environment
carbon | /ˈkɑːbən/ | n. | 碳 | Carbon emissions must fall by half. | environment
catastrophe | /kəˈtæstrəfi/ | n. | 灾难 | Floods caused a humanitarian catastrophe. | environment
climate | /ˈklaɪmət/ | n. | 气候 | Climate change affects crop yields. | environment
conservation | /ˌkɒnsəˈveɪʃn/ | n. | 保护 | Conservation efforts saved the species. | environment
contaminate | /kənˈtæmɪneɪt/ | v. | 污染 | Industrial waste contaminated the river. | environment
deforestation | /ˌdiːˌfɒrɪˈsteɪʃn/ | n. | 森林砍伐 | Deforestation continues in the Amazon. | environment
disposable | /dɪˈspəʊzəbl/ | adj. | 一次性的 | Disposable cups fill landfills. | environment
drought | /draʊt/ | n. | 干旱 | The region suffered a three-year drought. | environment
ecosystem | /ˈiːkəʊsɪstəm/ | n. | 生态系统 | Coral reefs are fragile ecosystems. | environment
emission | /ɪˈmɪʃn/ | n. | 排放 | Vehicle emissions fell by 20%. | environment
extinction | /ɪkˈstɪŋkʃn/ | n. | 灭绝 | Several species face extinction. | environment
fossil | /ˈfɒsl/ | adj. | 化石的 | Fossil fuels still dominate transport. | environment
greenhouse | /ˈɡriːnhaʊs/ | n. | 温室 | Greenhouse gases trap heat. | environment
habitat | /ˈhæbɪtæt/ | n. | 栖息地 | Urban sprawl destroys natural habitats. | environment
landfill | /ˈlændfɪl/ | n. | 垃圾填埋场 | Half the waste ends up in landfill. | environment
organic | /ɔːˈɡænɪk/ | adj. | 有机的 | Organic farming uses fewer chemicals. | environment
pollutant | /pəˈluːtənt/ | n. | 污染物 | The main pollutant is nitrogen dioxide. | environment
precipitation | /prɪˌsɪpɪˈteɪʃn/ | n. | 降水 | Annual precipitation has decreased. | environment
recycle | /ˌriːˈsaɪkl/ | v. | 回收利用 | Only 30% of plastic is recycled. | environment
renewable | /rɪˈnjuːəbl/ | adj. | 可再生的 | Renewable energy now supplies 40%. | environment
resource | /rɪˈsɔːs/ | n. | 资源 | Water resources are under strain. | environment
sewage | /ˈsuːɪdʒ/ | n. | 污水 | Untreated sewage enters the sea. | environment
solar | /ˈsəʊlə(r)/ | adj. | 太阳能的 | Solar panels cut household bills. | environment
species | /ˈspiːʃiːz/ | n. | 物种 | Over 1,000 species are at risk. | environment
sustainability | /səˌsteɪnəˈbɪləti/ | n. | 可持续性 | Sustainability is now a business goal. | environment
toxic | /ˈtɒksɪk/ | adj. | 有毒的 | Toxic chemicals persist in soil. | environment
waste | /weɪst/ | n. | 废弃物 | Households produce less waste now. | environment
wildlife | /ˈwaɪldlaɪf/ | n. | 野生动植物 | Roads fragment wildlife corridors. | environment
