# word | phonetic | pos. | meaning | example | topic
academic | /ˌækəˈdemɪk/ | adj. | 学术的 | Academic pressure affects teenagers. | education
admission | /ədˈmɪʃn/ | n. | 录取，准入 | University admission is highly competitive. | education
cognitive | /ˈkɒɡnətɪv/ | adj. | 认知的 | Bilingual children show cognitive advantages. | education
curriculum | /kəˈrɪkjələm/ | n. | 课程 | The curriculum includes coding lessons. | education
distant | /ˈdɪstənt/ | adj. | 远程的；遥远的 | Distant learning expanded during the pandemic. | education
dropout | /ˈdrɒpaʊt/ | n. | 辍学者 | The dropout rate has fallen. | education
enrol | /ɪnˈrəʊl/ | v. | 注册，入学 | More girls enrol in science courses. | education
faculty | /ˈfæklti/ | n. | 院系；全体教师 | The faculty of engineering is expanding. | education
foundation | /faʊnˈdeɪʃn/ | n. | 基础 | A strong foundation in maths matters. | education
graduate | /ˈɡrædʒueɪt/ | n. | 毕业生 | Graduates face a tough job market. | education
grant | /ɡrɑːnt/ | n. | 助学金 | She received a research grant. | education
illiterate | /ɪˈlɪtərət/ | adj. | 不识字的 | Illiterate adults need basic classes. | education
instruction | /ɪnˈstrʌkʃn/ | n. | 教学，指导 | Classroom instruction remains essential. | education
intake | /ˈɪnteɪk/ | n. | 招生人数 | The university increased its intake. | education
knowledgeable | /ˈnɒlɪdʒəbl/ | adj. | 知识渊博的 | Tutors are knowledgeable and patient. | education
literacy | /ˈlɪtərəsi/ | n. | 读写能力 | Adult literacy programmes are underfunded. | education
mature | /məˈtʃʊə(r)/ | adj. | 成熟的 | Mature students often outperform younger peers. | education
memorise | /ˈmeməraɪz/ | v. | 记忆，背诵 | Rote learning means memorising facts. | education
motivation | /ˌməʊtɪˈveɪʃn/ | n. | 动机 | Intrinsic motivation predicts success. | education
nurture | /ˈnɜːtʃə(r)/ | v. | 培养 | Schools should nurture creativity. | education
peer | /pɪə(r)/ | n. | 同龄人 | Peer pressure influences teenagers. | education
pedagogy | /ˈpedəɡɒdʒi/ | n. | 教学法 | Modern pedagogy emphasises inquiry. | education
qualification | /ˌkwɒlɪfɪˈkeɪʃn/ | n. | 学历，资格 | Vocational qualifications are gaining respect. | education
rote | /rəʊt/ | n. | 死记硬背 | Rote learning was widely criticised. | education
scholarship | /ˈskɒləʃɪp/ | n. | 奖学金 | He won a full scholarship to Oxford. | education
schooling | /ˈskuːlɪŋ/ | n. | 学校教育 | Twelve years of schooling is now standard. | education
seminar | /ˈsemɪnɑː(r)/ | n. | 研讨会 | Weekly seminars build confidence. | education
syllabus | /ˈsɪləbəs/ | n. | 教学大纲 | The syllabus was revised in 2025. | education
talented | /ˈtæləntɪd/ | adj. | 有天赋的 | Talented pupils need stretch tasks. | education
tuition | /tjuˈɪʃn/ | n. | 学费；授课 | Private tuition is common in Asia. | education
vocational | /vəʊˈkeɪʃənl/ | adj. | 职业的 | Vocational training reduces youth unemployment. | education
