# word | phonetic | pos. | meaning | example | topic
applause | /ә'plɒ:z/ | n. | 鼓掌, 喝彩, 赞许 |  | general
journalism | /'dʒә:nәlizm/ | n. | 新闻业, 报章杂志；报刊, 新闻业, 新闻出版 |  | work
indifference | /in'difәrәns/ | n. | 不重视, 无兴趣, 漠不关心；中立, 不偏袒, 不重视 |  | culture
inefficient | /.ini'fiʃәnt/ |  | a. 无效率的, 无能的；无效的, 无效力的 |  | environment
consciously |  | adv. | 自觉地；有意识地 |  | general
glamorous | /'glæmәrәs/ |  | a. 富有魅力的, 迷人的 |  | general
patriotic | /.peitri'ɒtik/ |  | a. 爱国的, 有爱国心的；爱国的, 有爱国心的 |  | general
universally | /ju:ni'v\\\\:sәli/ | adv. | 宇宙, 全世界, 普遍, 一般, 普通, 全 |  | general
comprehension | /.kɒmpri'henʃәn/ | n. | 理解, 包含 |  | general
genesis | /'dʒenisis/ | n. | 发生, 起源, 创世记；生殖, 发生 |  | general
inward | /'inwәd/ |  | a. 内心的, 向内的, 本来的；向内的 |  | general
diplomacy | /di'plәumәsi/ | n. | 外交, 外交手腕, 交际手段；外交, 外交手腕, 权谋 |  | general
nationwide | /'neiʃәnwaid/ |  | a. 全国性的；全国的, 全国范围的 |  | general
periodic | /.piәri'ɒdik/ |  | a. 周期的, 定期的, 间歇(性)的, 循；周期性的 |  | general
instinctively |  | adv. | 本能地, 直觉地 |  | general
rectangular | /rek'tæŋgjulә/ |  | a. 成直角的；矩形的 |  | general
sensory | /'sensәri/ |  | a. 知觉的, 感觉的, 传递感觉的；感觉的 |  | general
competitiveness |  |  | 竞争 |  | general
dynamics | /dai'næmiks/ | n. | 动力学；动力学 |  | general
pending | /'pendiŋ/ |  | a. 未决定的, 待决的, 行将发生的, 向；prep. 在等待...之际, 直到...时 |  | general
temporal | /'tempәrәl/ |  | a. 时间的, 暂时的, 现世的, 世俗的；n. 世间万物, 教会财产 |  | culture
feudal | /'fju:dәl/ |  | a. 封建制度的, 封地的, 领地的 |  | society
wasp | /wɒsp/ | n. | 黄蜂, 胡蜂, 易怒的人, 刻毒的人；胡蜂, 黄蜂 |  | society
expressly | /ik'spresli/ | adv. | 明白地, 清楚地, 特意地 |  | general
addictive | /ә'diktiv/ |  | a. 上瘾的 |  | general
upscale | /'ʌpskeil/ |  | a. 迎合高层次消费者的；质优价高的 |  | economy
savor | /'seivә/ | n. | 滋味, 气味, 食欲；vi. 有...的滋味 |  | general
gravitational | /.grævi'teiʃәnәl/ |  | a. 重力的 |  | general
indefinitely |  | adv. | 无期限地 |  | general
untouched | /.ʌn'tʌtʃt/ |  | a. 未触摸过的, 未改变的, 未受影响的 |  | general
faulty | /'fɒ:lti/ |  | a. 有过失的, 有缺点的, 不完美的, 应；缺点多的 |  | general
accidentally | /.æksi'dentli/ | adv. | 偶然地, 意外地 |  | general
satisfactorily | /.sætis'fæktәrili/ | adv. | 令人满意地 |  | general
persuasive | /pә'sweisiv/ |  | a. 有说服力的, 劝诱的, 劝导性的 |  | general
brilliantly | /'brijәntli/ | adv. | 辉煌地, 光亮地, 灿烂地 |  | general
insignificant | /.insig'nifikәnt/ |  | a. 无关紧要的, 无意义的, 琐碎的 |  | general
forefront | /'fɒ:frʌnt/ | n. | 最前部, 最前线 |  | culture
adventurous | /әd'ventʃәrәs/ |  | a. 喜欢冒险的, 有进取心的, 危险的 |  | general
downward | /'daunwәd/ |  | a. 向下的 |  | general
vividly |  | adv. | 鲜艳, 强烈, 明亮, 鲜明, 活泼, 有生 |  | general
enthusiastically | /in.θju:zi'æstikli/ | adv. | 热心地, 狂热地 |  | general
questionable | /'kwestʃәnәbl/ |  | a. 可疑的；可疑的, 有问题的, 不可靠的 |  | general
admirable | /'ædmәrәbl/ |  | a. 可钦佩的, 极好的, 令人惊奇的 |  | general
youthful | /'ju:θful/ |  | a. 年轻的, 青年的；青年的, 年轻的 |  | general
outwards | /'autwәdz/ | adv. | 向外地 |  | general
visibility | /.vizi'biliti/ | n. | 可见性, 能见度, 能见距离；可见性 |  | general
luxurious | /lʌg'zjuәriәs/ |  | a. 豪华的, 奢侈的, 放纵的 |  | general
chaotic | /kei'ɒtik/ |  | a. 混乱的, 无秩序的；混乱的, 混沌的 |  | work
sentimental | /.senti'mentl/ |  | a. 感伤的, 感情用事的 |  | health
arrogance | /'ærәgәns/ | n. | 傲慢态度, 自大 |  | general
sensational | /sen'seiʃәnl/ |  | a. 使人感动的, 非常好的 |  | general
repetitive | /ri'petitiv/ |  | a. 重复的, 反复性的 |  | general
advisable | /әd'vaizәbl/ |  | a. 适当的, 明智的 |  | general
vitality | /vai'tæliti/ | n. | 活力, 生命力；生机, 活力, 生活 |  | general
persistence | /pә'sistәns/ | n. | 固执, 坚持不懈, 持续(性), 存留(状态；持久 |  | general
benign | /bi'nain/ |  | a. 善良的, 良性的；良性的 |  | health
notoriously |  | adv. | 臭名昭著的, 声名狼藉的 |  | general
overwhelmingly | /.әuvә'hwelmiŋli/ | adv. | 压倒性地, 不可抵抗地 |  | general
instinctive | /in'stiŋktiv/ |  | a. 本能的, 天生的, 直觉的；本能的 |  | general
irresistible | /.iri'zistәbl/ |  | a. 不可抵抗的, 不能压制的；不可抗力 |  | general
outward | /'autwәd/ |  | a. 向外的, 表面的, 外服的；adv. 向外, 在外, 表面 |  | general
expressive | /ik'spresiv/ |  | a. 表达的, 富于表情的 |  | general
skeptic | /'skeptik/ | n. | 怀疑者, 怀疑论者, 不可知论者 |  | general
athletic | /æθ'letik/ |  | a. 运动的 |  | general
underwear | /'ʌndәwєә/ | n. | 内衣 |  | general
stringent | /'strindʒәnt/ |  | a. 迫切的, 严厉的, 银根紧的；约束的, 紧迫的 |  | general
impersonal | /im'pә:sәnәl/ |  | a. 客观的, 和个人无关的, 没有人情味的；n. 非人称动词(或代词) |  | general
recreational | /.rekri'eiʃәnәl/ |  | a. 消遣的, 娱乐的 |  | general
fictional | /'fikʃәnl/ |  | a. 虚构的, 编造的, 小说式的；拟制的, 假定的, 虚构的 |  | general
spontaneously |  | adv. | 自发, 一时冲动, 出自自然, 不依赖人工 |  | environment
scholarly | /'skɔlәli/ |  | a. 学者派头的, 学者风度的, 有学问的 |  | general
slavery | /'sleivәri/ | n. | 奴隶的身分, 奴隶状态, 奴隶制度；奴隶制度, 奴役, 苦役 |  | society
thereof | /.ðєәr'ɒv/ | adv. | 在其中, 关于..., 由此；由是, 由此, 属于它的 |  | general
breathless | /'breθlis/ |  | a. 喘不过气来的, 屏气的, 气喘吁吁的 |  | general
viability | /.vaiә'biliti/ | n. | 生存能力, 发育能力；活力, 生机 |  | general
conformity | /kәn'fɒ:miti/ | n. | 遵照, 适合, 一致, 相似；符合度 |  | general
notwithstanding | /.nɒtwiθ'stændiŋ/ | adv. | 虽然, 尽管；prep. 尽管 |  | general
glamor | /'glæmә/ | n. | 魅力, 迷人的美, 魔法；vt. 迷惑 |  | general
conservatism | /kәn'sә:vәtizәm/ | n. | 保守, 守旧性, 保守主义, 保守党的主张和；保守性 |  | society
subsistence | /sәb'sistәns/ | n. | 生存, 生活；生存 |  | general
baroque | /bә'rɒk/ | n. | 巴罗克风格, 巴罗克式；a. 巴罗克式的, 绮靡的, 以俗艳标新立异 |  | work
respiratory | /ri'spaiәrәtәri/ |  | a. 呼吸的；呼吸的 |  | general
analogous | /ә'nælәgәs/ |  | a. 类似的, 相似的；类似的, 类同的 |  | general
sly | /slai/ |  | a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸 |  | general
postwar | /'pәust'wɒ:/ |  | a. 战后的 |  | general
psychoanalysis | /.saikәuә'nælәsis/ | n. | 心理分析；精神分析 |  | health
uranium | /ju'reiniәm/ | n. | 铀；铀U |  | general
congressional | /kәn'greʃәnl/ |  | a. 会议的, 议会的, 国会的；代表大会的, 大会的, 议会的 |  | general
humorous | /'hju:mәrәs/ |  | a. 富幽默感的, 滑稽的, 诙谐的 |  | general
