# word | phonetic | pos. | meaning | example | topic
sales |  |  | a. 销售的；销售 |  | economy
traditional | /trә'diʃәnl/ |  | a. 传统的, 惯例的；传统的, 惯例的 |  | culture
effective | /i'fektiv/ |  | a. 有效的, 有力的, 实际的；n. 有生力量 |  | general
physical | /'fizikl/ |  | a. 身体的, 物质的, 自然的, 物理学的；n. 体格检查 |  | environment
eventually | /i'ventʃuәli/ | adv. | 最后, 终于 |  | general
otherwise | /'ʌðәwaiz/ | adv. | 否则, 不同地, 别的方式 |  | general
status | /'steitәs/ | n. | 状态, 情形, 地位, 要人身份；状态 |  | society
beautiful | /'bju:tiful/ |  | a. 美丽的 |  | general
safety | /'seifti/ | n. | 安全, 保险, 平安, 保安设备；vt. 保护, 防护 |  | technology
obvious | /'ɒbviәs/ |  | a. 明显的, 明白的, 显然的, 平淡无奇 |  | general
environmental | /in.vaiәrәn'mentәl/ |  | a. 周围的, 环境的；环境的, 环保的 |  | environment
august | /ɒ:'gʌst. 'ɒ:gәst/ | n. | 八月；a. 威严的, 令人敬畏的 |  | general
relevant | /'relivәnt/ |  | a. 有关联的, 有关系的, 适当的, 相应；有关的, 相关的 |  | general
alone | /ә'lәun/ |  | a. 孤独的, 单独的, 独自的；adv. 独自地 |  | general
additional | /ә'diʃәnәl/ |  | a. 附加的, 另外的, 额外的；加添的, 附加的 |  | general
nevertheless | /.nevәðә'les/ | adv. | 然而, 虽然如此；conj. 然而 |  | general
impossible | /im'pɒsәbl/ |  | a. 不可能的, 难以置信的, 令人无法忍受 |  | general
famous | /'feimәs/ |  | a. 出名的, 极好的 |  | general
usual | /'ju:ʒuәl/ |  | a. 平常的, 通常的 |  | general
formal | /'fɒ:mәl/ |  | a. 正式的, 形式的, 礼仪的, 拘于礼节；n. 正式的社交活动 |  | culture
rural | /'ruәrәl/ |  | a. 乡下的, 田园的, 乡村风味的；农村的, 乡村的, 有关农业的 |  | general
suitable | /'sju:tәbl/ |  | a. 适当的, 相配的；合适的, 适宜的, 适当的 |  | general
reasonable | /'ri:znәbl/ |  | a. 合理的, 明理的, 适当的；合理的, 公道的, 正当的 |  | general
expensive | /ik'spensiv/ |  | a. 贵的, 奢华的, 费用浩大的, 乱化钱；高价的, 昂贵的, 浪费的 |  | economy
eastern | /'i:stәn/ | n. | 东方人, 东正教徒；a. 东方的, 向东的, 自东的 |  | culture
scientific | /.saiәn'tifik/ |  | a. 科学的, 系统的, 符合科学规律的；科学记数法 |  | technology
educational | /.edju'keiʃәnl/ |  | a. 教育的, 教育性的 |  | education
dangerous | /'deindʒәrәs/ |  | a. 危险的；危险的, 危害的 |  | general
critical | /'kritikәl/ |  | a. 批评的, 决定性的, 危险的, 临界的；危象的 |  | society
elsewhere | /'elshwєә/ | adv. | 在别处 |  | general
historical | /hi'stɒrikәl/ |  | a. 历史的, 史实的, 历史上的；历史性的 |  | culture
apparent | /ә'pærәnt/ |  | a. 清晰可见的, 显然的, 表面上的；外在的 |  | general
attractive | /ә'træktiv/ |  | a. 吸引人的, 有魅力的；有吸引力的, 有迷惑力的 |  | general
effectively | /i'fektivli/ | adv. | 有效地, 有力地, 实际上 |  | general
elderly | /'eldәli/ |  | a. 过了中年的, 稍老的 |  | general
typical | /'tipikl/ |  | a. 典型的, 象征性的；典型的 |  | general
somewhat | /'sʌmhwɒt/ | n. | 某物, 几分；adv. 多少, 几分 |  | general
permanent | /'pә:mәnәnt/ |  | a. 永久的, 不变的, 固定的, 持久的；n. 烫发 |  | general
odd | /ɒd/ |  | a. 奇数的, 古怪的, 剩余的, 零散的；n. 奇特的事物, 怪人 |  | general
somehow | /'sʌmhau/ | adv. | 不知何故 |  | general
virtually | /'vә:tʃuәli/ | adv. | 事实上 |  | general
massive | /'mæsiv/ |  | a. 大而重的, 宽大的, 宏伟的；大块的, 整块的, 大量的 |  | general
unique | /ju:'ni:k/ |  | a. 独一无二的, 独特的, 稀罕的 |  | general
assistance | /ә'sistәns/ | n. | 协助, 援助；援助, 帮助 |  | general
subsequent | /'sʌbsikwәnt/ |  | a. 后来的, 接下去的；后来的 |  | general
enormous | /i'nɒ:mәs/ |  | a. 巨大的, 庞大的 |  | technology
rarely | /'rєәli/ | adv. | 很少地, 罕有地 |  | general
unusual | /.ʌn'ju:ʒu:l/ |  | a. 不寻常的, 罕见的, 与众不同的 |  | general
extensive | /ik'stensiv/ |  | a. 广的, 广泛的, 多方面的；广大的, 扩大的 |  | work
comfortable | /'kʌmfәtәbl/ |  | a. 舒服的, 轻松的；n. 盖被 |  | health
maintenance | /'meintәnәns/ | n. | 维护, 保持, 维修, 生活费用, 坚持；维护 |  | culture
regularly | /'regjulәli/ | adv. | 有规则地, 一丝不苟地, 正式地 |  | general
countryside | /'kʌntrisaid/ | n. | 乡下地方, 乡下居民 |  | society
agriculture | /'ægrikʌltʃә/ | n. | 农业；农业, 农学 |  | general
electricity | /.ilek'trisiti/ | n. | 电, 电流, 电学, 热情, 电力供应；电学 |  | general
silent | /'sailәnt/ |  | a. 沉默的, 安静的, 无声的, 静止的；静止的, 无症状的 |  | health
wealth | /welθ/ | n. | 财富, 资源, 财产, 丰富, 富裕, 大量；财富 |  | economy
global | /'glәubl/ |  | a. 通用的, 全球的, 球形的, 综合的；共用 |  | culture
remarkable | /ri'mɑ:kәbl/ |  | a. 不平常的, 值得注意的, 显著的 |  | general
furniture | /'fәnitʃә/ | n. | 家具, 帆具 |  | general
presumably | /pri'zu:mәbli/ | adv. | 推测上, 大概 |  | general
genuine | /'dʒenjuin/ |  | a. 真正的, 真实的, 诚恳的；真性的 |  | general
supreme | /sju'pri:m/ | n. | 至高, 霸权；a. 至高的, 终极的, 极端的, 最大的 |  | general
confident | /'kɒnfidәnt/ |  | a. 有信心的, 有把握的 |  | general
numerous | /'nju:mәrәs/ |  | a. 很多的, 数目众多的, 多数的；多数的, 甚多的 |  | general
