# word | phonetic | pos. | meaning | example | topic
applicant | /ˈæplɪkənt/ | n. | 申请者 | Each applicant submitted a portfolio. | economy
bankruptcy | /ˈbæŋkrʌptsi/ | n. | 破产 | Small firms face bankruptcy risk. | economy
commodity | /kəˈmɒdəti/ | n. | 商品 | Oil is a globally traded commodity. | economy
competitive | /kəmˈpetətɪv/ | adj. | 有竞争力的 | Graduates need competitive skills. | economy
consumption | /kənˈsʌmpʃn/ | n. | 消费 | Energy consumption fell in winter. | economy
entrepreneur | /ˌɒntrəprəˈnɜː(r)/ | n. | 创业者 | Young entrepreneurs drive job growth. | economy
expenditure | /ɪkˈspendɪtʃə(r)/ | n. | 支出 | Public expenditure on health rose. | economy
freelance | /ˈfriːlɑːns/ | adj. | 自由职业的 | Freelance work offers flexibility. | economy
globalisation | /ˌɡləʊbəlaɪˈzeɪʃn/ | n. | 全球化 | Globalisation reshaped labour markets. | economy
gross | /ɡrəʊs/ | adj. | 总的，毛的 | GDP means gross domestic product. | economy
inflation | /ɪnˈfleɪʃn/ | n. | 通货膨胀 | Inflation reached 6% in 2024. | economy
investment | /ɪnˈvestmənt/ | n. | 投资 | Foreign investment created jobs. | economy
labour | /ˈleɪbə(r)/ | n. | 劳动力 | An ageing labour force is a risk. | economy
layoff | /ˈleɪɒf/ | n. | 裁员 | The firm announced 500 layoffs. | economy
manufacturing | /ˌmænjuˈfæktʃərɪŋ/ | n. | 制造业 | Manufacturing shifted overseas. | economy
merger | /ˈmɜːdʒə(r)/ | n. | 合并 | The merger created a market leader. | economy
negotiate | /nɪˈɡəʊʃieɪt/ | v. | 谈判，协商 | Unions negotiate pay annually. | economy
occupation | /ˌɒkjuˈpeɪʃn/ | n. | 职业 | Teaching is a stressful occupation. | economy
outsourcing | /ˈaʊtsɔːsɪŋ/ | n. | 外包 | Outsourcing cut costs by 15%. | economy
productivity | /ˌprɒdʌkˈtɪvəti/ | n. | 生产力 | Remote work raised productivity. | economy
profitable | /ˈprɒfɪtəbl/ | adj. | 盈利的 | The division became profitable in 2025. | economy
promotion | /prəˈməʊʃn/ | n. | 晋升；促销 | She won promotion within a year. | economy
recession | /rɪˈseʃn/ | n. | 经济衰退 | The recession lasted three quarters. | economy
redundancy | /rɪˈdʌndənsi/ | n. | 裁员，冗余 | Voluntary redundancy was offered. | economy
revenue | /ˈrevənjuː/ | n. | 收入，营收 | Tax revenue declined sharply. | economy
salary | /ˈsæləri/ | n. | 薪水 | Starting salaries vary by region. | economy
shift | /ʃɪft/ | n. | 轮班；转变 | Night shifts affect health. | economy
supply | /səˈplaɪ/ | n. | 供应 | Housing supply lags behind demand. | economy
turnover | /ˈtɜːnəʊvə(r)/ | n. | 营业额；人员流失 | Staff turnover reached 25%. | economy
unemployment | /ˌʌnɪmˈplɔɪmənt/ | n. | 失业 | Youth unemployment remains high. | economy
