# word | phonetic | pos. | meaning | example | topic
abundant | /əˈbʌndənt/ | adj. | 丰富的，充裕的 | The region has abundant natural resources. | core
adequate | /ˈædɪkwət/ | adj. | 足够的，适当的 | Many schools lack adequate funding. | core
adverse | /ˈædvɜːs/ | adj. | 不利的，有害的 | Sleep loss has adverse effects on health. | core
beneficial | /ˌbenɪˈfɪʃl/ | adj. | 有益的 | Regular exercise is beneficial to mental health. | core
compulsory | /kəmˈpʌlsəri/ | adj. | 义务的，强制的 | PE should remain compulsory in schools. | core
considerable | /kənˈsɪdərəbl/ | adj. | 相当大的 | A considerable amount of money was spent. | core
controversial | /ˌkɒntrəˈvɜːʃl/ | adj. | 有争议的 | Genetic engineering remains controversial. | core
conventional | /kənˈvenʃənl/ | adj. | 传统的，常规的 | Conventional farming uses more water. | core
crucial | /ˈkruːʃl/ | adj. | 至关重要的 | Early education is crucial to later success. | core
detrimental | /ˌdetrɪˈmentl/ | adj. | 有害的 | Noise pollution is detrimental to wildlife. | core
diverse | /daɪˈvɜːs/ | adj. | 多样的 | The city has a diverse population. | core
drastic | /ˈdræstɪk/ | adj. | 激烈的，极端的 | Drastic measures are needed to cut waste. | core
efficient | /ɪˈfɪʃnt/ | adj. | 高效的 | Public transport is more efficient than driving. | core
eligible | /ˈelɪdʒəbl/ | adj. | 有资格的 | Students are eligible for a discount. | core
excessive | /ɪkˈsesɪv/ | adj. | 过多的 | Excessive screen time harms sleep. | core
feasible | /ˈfiːzəbl/ | adj. | 可行的 | A four-day week is feasible in some sectors. | core
flexible | /ˈfleksəbl/ | adj. | 灵活的 | Flexible working improves retention. | core
gradual | /ˈɡrædʒuəl/ | adj. | 逐渐的 | There was a gradual rise in temperature. | core
inevitable | /ɪnˈevɪtəbl/ | adj. | 不可避免的 | Some job losses are inevitable. | core
invaluable | /ɪnˈvæljuəbl/ | adj. | 极宝贵的 | Volunteers provide invaluable support. | core
narrow | /ˈnærəʊ/ | adj. | 狭窄的；勉强的 | The gap narrowed to a narrow margin. | core
notable | /ˈnəʊtəbl/ | adj. | 显著的，值得注意的 | A notable trend is the rise of e-books. | core
obsolete | /ˈɒbsəliːt/ | adj. | 过时的 | Cash may become obsolete within decades. | core
overwhelming | /ˌəʊvəˈwelmɪŋ/ | adj. | 压倒性的 | The majority voted overwhelmingly in favour. | core
persistent | /pəˈsɪstənt/ | adj. | 持续的，坚持不懈的 | Persistent effort leads to mastery. | core
potential | /pəˈtenʃl/ | adj. | 潜在的 | Renewable energy has huge potential benefits. | core
predominant | /prɪˈdɒmɪnənt/ | adj. | 主要的，占主导的 | Rice is the predominant crop in the area. | core
prevailing | /prɪˈveɪlɪŋ/ | adj. | 普遍的，流行的 | The prevailing view favours regulation. | core
profound | /prəˈfaʊnd/ | adj. | 深刻的 | The internet had a profound impact on commerce. | core
prominent | /ˈprɒmɪnənt/ | adj. | 突出的，著名的 | A prominent economist argued the case. | core
reluctant | /rɪˈlʌktənt/ | adj. | 不情愿的 | Many firms are reluctant to invest. | core
scarce | /skeəs/ | adj. | 稀缺的 | Clean water is scarce in the region. | core
significant | /sɪɡˈnɪfɪkənt/ | adj. | 重要的，显著的 | There was a significant drop in crime. | core
stable | /ˈsteɪbl/ | adj. | 稳定的 | The economy remained stable throughout. | core
substantial | /səbˈstænʃl/ | adj. | 大量的，实质的 | A substantial sum was donated. | core
sufficient | /səˈfɪʃnt/ | adj. | 充足的 | Evidence is insufficient to draw conclusions. | core
sustainable | /səˈsteɪnəbl/ | adj. | 可持续的 | Sustainable transport reduces emissions. | core
trivial | /ˈtrɪviəl/ | adj. | 微不足道的 | The difference is trivial in practice. | core
urban | /ˈɜːbən/ | adj. | 城市的 | Urban populations continue to grow. | core
widespread | /ˈwaɪdspred/ | adj. | 普遍的，广泛的 | There is widespread support for the ban. | core
