# word | phonetic | pos. | meaning | example | topic
algorithm | /ˈælɡərɪðəm/ | n. | 算法 | Algorithms decide what users see. | technology
automation | /ˌɔːtəˈmeɪʃn/ | n. | 自动化 | Automation threatens routine jobs. | technology
breakthrough | /ˈbreɪkθruː/ | n. | 突破 | A breakthrough in battery storage happened. | technology
browse | /braʊz/ | v. | 浏览 | Users browse for hours each day. | technology
compatible | /kəmˈpætəbl/ | adj. | 兼容的 | The app is compatible with older phones. | technology
cybersecurity | /ˌsaɪbəsɪˈkjʊərəti/ | n. | 网络安全 | Cybersecurity spending doubled. | technology
database | /ˈdeɪtəbeɪs/ | n. | 数据库 | Patient records sit in a central database. | technology
digital | /ˈdɪdʒɪtl/ | adj. | 数字的 | The digital divide remains wide. | technology
download | /ˌdaʊnˈləʊd/ | v. | 下载 | Students download lecture notes. | technology
efficiently | /ɪˈfɪʃntli/ | adv. | 高效地 | Data is processed more efficiently. | technology
electronic | /ɪˌlekˈtrɒnɪk/ | adj. | 电子的 | Electronic waste is a growing problem. | technology
embed | /ɪmˈbed/ | v. | 嵌入 | Sensors are embedded in the road. | technology
encrypted | /ɪnˈkrɪptɪd/ | adj. | 加密的 | Messages are encrypted end to end. | technology
hardware | /ˈhɑːdweə(r)/ | n. | 硬件 | Hardware costs have fallen sharply. | technology
innovation | /ˌɪnəˈveɪʃn/ | n. | 创新 | Innovation drives long-term growth. | technology
interface | /ˈɪntəfeɪs/ | n. | 界面 | The interface is intuitive and clean. | technology
leak | /liːk/ | v. | 泄露 | Personal data leaked from the server. | technology
network | /ˈnetwɜːk/ | n. | 网络 | A 5G network covers the city. | technology
obsolete | /ˈɒbsəliːt/ | adj. | 被淘汰的 | Skills become obsolete within a decade. | technology
platform | /ˈplætfɔːm/ | n. | 平台 | The platform hosts millions of courses. | technology
prototype | /ˈprəʊtətaɪp/ | n. | 原型 | Engineers built a working prototype. | technology
satellite | /ˈsætəlaɪt/ | n. | 卫星 | Satellites track deforestation daily. | technology
software | /ˈsɒftweə(r)/ | n. | 软件 | Open-source software saves money. | technology
sophisticated | /səˈfɪstɪkeɪtɪd/ | adj. | 精密的，复杂的 | The software is highly sophisticated. | technology
stream | /striːm/ | v. | 流媒体播放 | Most households stream video nightly. | technology
synthetic | /sɪnˈθetɪk/ | adj. | 合成的 | Synthetic data trains AI models. | technology
technical | /ˈteknɪkl/ | adj. | 技术的 | Technical support is available 24/7. | technology
upgrade | /ˈʌpɡreɪd/ | v. | 升级 | Firms must upgrade legacy systems. | technology
virtual | /ˈvɜːtʃuəl/ | adj. | 虚拟的 | Virtual meetings replaced travel. | technology
wireless | /ˈwaɪələs/ | adj. | 无线的 | Wireless charging is now standard. | technology
