# word | phonetic | pos. | meaning | example | topic
apropos | /.æprә'pәu/ |  | a. 适当的, 恰好的；adv. 适当地, 恰好地 |  | general
apiary | /'eipjәri/ | n. | 养蜂场 |  | general
fusty | /'fʌsti/ |  | a. 发霉的, 守旧的, 陈腐的 |  | general
frigidity | /fri'dʒiditi/ | n. | 寒冷, 冷淡；寒冷, 冷淡, 性感缺失 |  | education
petrology | /pi'trɒlәdʒi/ | n. | 岩石学 |  | general
epicure | /'epi.kjuә/ | n. | 美食家, 讲究饮食的人 |  | general
osseous | /'ɒsiәs/ |  | a. 骨的, 骨质的, 多骨的；骨的, 骨性的 |  | general
loutish | /'lautiʃ/ |  | a. 粗野的, 无礼的 |  | general
disjunctive | /dis'dʒʌŋktiv/ |  | a. 分离的, 分隔的；n. 反意连接词, 选言命题 |  | general
desideratum | /di.zidә'reitәm/ | n. | 所愿望之物, 迫切需要之物 |  | general
uproarious | /ʌp'rɒ:riәs/ |  | a. 喧嚣的, 热闹的, 骚动的 |  | general
frolicsome | /'frɒliksәm/ |  | a. 嬉戏的, 爱闹着玩的 |  | general
prehensile | /pri'hensail/ |  | a. 能抓的, 善于领会的, 贪得无厌的；抓握的, 捕捉的 |  | general
mulish | /'mju:liʃ/ |  | a. 似骡的, 执拗的, 顽固的 |  | general
complaisant | /kәm'pleizәnt/ |  | a. 谦恭的, 殷勤的, 顺从的 |  | general
encyclopedic | /en,saiklәu'pi:dik/ |  | a. 如百科辞典的, 百科全书式的 |  | general
ambrosial | /æm'brәuzjәl/ |  | a. 特别美味的 |  | general
asphyxia | /æs'fiksiә/ | n. | 窒息；窒息 |  | environment
crepuscular | /kri'pʌskjulә/ |  | a. 微光的, 黄昏的, 拂晓的；黄昏的, 朦胧的 |  | general
unstinting | /'ʌn'stintiŋ/ |  | a. 无限制的, 慷慨的 |  | general
testiness | /'testinis/ | n. | 易怒, 暴躁 |  | general
provender | /'prɒvәndә/ | n. | 粮草, 秣, 食物 |  | general
ratiocination | /.rætiɒsi'neiʃәn/ | n. | 推理, 推论 |  | general
florescence | /flɒ:'resәns/ | n. | 开花, 花期, 全盛期；开花期, 花候 |  | general
careworn | /'kєәwɒ:n/ |  | a. 忧心忡忡的 |  | general
scabrous | /'skeibrәs/ |  | a. 粗糙的, 多痂的, 难解决的, 猥亵的 |  | general
congruous | /'kɒŋgruәs/ |  | a. 一致的, 适合的, 符合的 |  | general
mendacity | /men'dæsiti/ | n. | 虚伪, 谎话, 说谎癖；谎言癖, 谎言 |  | general
imbroglio | /im'brәuljәu/ | n. | 纷乱, 纠葛, 一团糟 |  | general
cynosure | /'sinә.zjuә/ | n. | 小熊座, 北极星, 众目之的 |  | general
desuetude | /di'sju:itju:d/ | n. | 废止, 不用；废止, 废绝, 法律的失效 |  | society
barefaced | /'bєәfeist/ |  | a. 公然的, 无耻的, 无面具的 |  | general
windbag | /'windbæg/ | n. | 空话连篇的人, 风囊 |  | general
lubricious | /lu:'briʃәs/ |  | a. 滑的, 光滑的, 淫荡的, 不稳定的 |  | general
incandescence | /.inkæn'desәns/ | n. | 白热, 炽热；炽热 |  | environment
excitability | /ik.saitә'biliti/ | n. | 易兴奋性, 兴奋性, 激动性；应激性, 刺激感受性, 兴奋性 |  | culture
waggish | /'wægiʃ/ |  | a. 爱开玩笑的, 诙谐的 |  | general
venial | /'vi:njәl/ |  | a. 可原谅的, 可宽恕的, 轻微的；可宽恕的, 可原谅的, 轻微的 |  | general
maleficent | /mә'lefisnt/ |  | a. 有害的, 做坏事的, 犯罪的 |  | society
eugenic | /ju:'dʒenik/ |  | a. 优生学的, 优种的；优生学 |  | general
puissant | /'pju:isnt/ |  | a. 强有力的, 强盛的, 有权力的 |  | general
gregariousness | /ɡrɪ'ɡerɪəsnəs/ |  | 集群性；簇聚性 |  | general
fissile | /'fisail/ |  | a. 易分裂的, 易裂的, 分裂性的；可裂的 |  | general
presumable | /pri'zu:mәbl/ |  | a. 可推测的, 可能有的, 似真的；可假定的:可推测的, 可推定的:可能的 |  | general
irremediable | /.iri'mi:diәbl/ |  | a. 不能治疗的, 不能改正的, 不能挽回的 |  | health
vulpine | /'vʌlpain/ |  | a. 狐狸的, 狐狸似的, 诡计多端的 |  | general
polyandry | /.pɒli'ændri/ | n. | 一妻多夫, 多雄蕊式；多雄配合, 多夫配合 |  | general
fosse | /fɒs/ | n. | 壕, 沟渠, 护城河 |  | general
atonal | /ei'tәunl/ |  | a. 无调性的 |  | culture
dissonant | /'disәnәnt/ |  | a. 不和谐的, 刺耳的, 不一致的 |  | culture
shiftless | /'ʃiftlis/ |  | a. 无计谋的, 偷懒的, 不中用的, 无能 |  | general
impolitic | /im'pɒlitik/ |  | a. 失策的, 不得当的 |  | general
hangdog | /'hæŋdɒg/ |  | a. 鬼鬼祟祟的, 卑躬屈膝的, 低贱的；n. 卑微的人 |  | general
stentorian | /sten'tɒ:riәn/ |  | a. 声音洪亮的 |  | general
saturnine | /'sætәnain/ |  | a. 沉默寡言的, 阴沉的, 铅中毒的；铅的 |  | general
meddlesome | /'medlsәm/ |  | a. 爱管闲事的, 好干涉的 |  | general
abnegation | /.æbni'geiʃәn/ | n. | 放弃, 舍弃, 克制 |  | general
unregenerate | /ʌnri'dʒenәrәt/ |  | a. 灵魂未得再生的, 不悔改的, 怙恶不悛 |  | general
impermeability | /im.pә:miә'biliti/ | n. | 不渗透性, 不透过性；不透性 |  | general
paunchy | /'pɒ:ntʃi/ |  | a. 大肚子的, 大腹便便的 |  | general
inadvertence | /,inәd'v\\\\:tәns/ | n. | 漫不经心, 粗心大意, 疏漏, 错误；粗心大意, 疏漏, 漫不经心 |  | general
incorporeal | /.inkɒ:'pɒ:riәl/ |  | a. 无实体的, 灵魂的, 无形体的；无形体的, 非物质的, 精神的 |  | health
discography | /dis'kɔ^rәfi/ |  | 椎间盘造影术 |  | culture
wanderlust | /'wɒndәlʌst/ | n. | 漫游癖, 流浪癖 |  | general
oracular | /ɒ:'rækjulә/ |  | a. 神谕的, 神谕似的, 谜似的, 玄妙深 |  | general
plutocracy | /plu:'tɒkrәsi/ | n. | 富豪统治；财阀统治, 富豪统治 |  | general
asinine | /'æsinain/ |  | a. 驴的, 像驴的, 愚蠢的 |  | general
quotidian | /kwɒ'tidiәn/ |  | a. 每日的, 每日发作的, 司空见惯的；n. 日发热 |  | education
pusillanimous | /.pju:si'lænimәs/ |  | a. 无勇气的, 胆怯的, 优柔寡断的 |  | general
incommensurate | /.inkә'menʃәreit/ |  | a. 不相称的, 不适应的 |  | general
gastronomy | /gæs'trɒnәmi/ | n. | 美食法, 烹饪法 |  | culture
bathetic | /bә'θetik/ |  | a. 陈腐的, 突降的 |  | general
vernal | /'vә:nl/ |  | a. 春天的, 和煦的, 青春的 |  | general
splashy | /'splæʃi/ |  | a. 容易溅开的, 泥泞的, 遍布斑点的 |  | general
restiveness |  | n. | 难以驾御；倔强 |  | general
numismatic | /.nju:miz'mætik/ |  | a. 货币的, 奖章的, 古币学的 |  | economy
execrable | /'eksikrәbl/ |  | a. 该咒的, 可憎恨的, 讨厌的 |  | general
homeostasis | /,hәumiәu'steisis/ | n. | 体内平衡, 内环境稳定；动态静止 |  | environment
henry | /'henri/ | n. | 亨利；亨(电感应单位) |  | general
carefully | /'kєәfuli/ | adv. | 小心地, 谨慎地 |  | general
equally | /'i:kwәli/ | adv. | 相等地, 同样地, 平等地 |  | general
closely | /'klәusli/ | adv. | 接近地 |  | general
corp |  |  | 公司 |  | economy
tony | /'tәuni/ |  | a. 高贵的, 时髦的 |  | general
iii |  | num. | 罗马数字3 |  | technology
amongst | /ә'mʌŋst/ | prep. | 在...当中, 在...之间, 在...之中 |  | culture
alright | /ɔ:l'rait/ |  | a. 没问题的 |  | general
graham | /'ɡreiәm/ |  | a. 全麦的；粗面粉的 |  | general
significantly |  | adv. | 值得注目地；意味深长地 |  | general
quietly | /'kwaiәtli/ | adv. | 安静地, 沉着地, 秘密地 |  | general
lewis | /'lu:is/ | n. | 吊楔 |  | general
taylor | /'teilә/ | n. | 泰勒 |  | culture
oct |  | abbr. | 十月（October） |  | general
nov |  | abbr. | 十一月（November） |  | general
briefly | /'brifli/ | adv. | 简短地, 扼要地, 简明地, 简单地 |  | general
ben | /ben/ | n. | 内室；贝昂(俗名,一般指辣木Moringa ole |  | general
reasonably | /'ri:znәbli/ | adv. | 适度地, 相当地 |  | general
ruth | /ru:θ/ | n. | 怜悯, 悲哀 |  | work
feb |  | abbr. | 二月（February） |  | general
automatically | /.ɒ:tә'mætikli/ | adv. | 自动地, 机械地 |  | technology
hong | /hɔŋ/ | n. | （中国、日本的）行, 商行 |  | economy
aha | /ɑ:'hɑ:/ |  | interj. 啊哈 |  | general
potentially | /pә'tenʃәli/ | adv. | 可能地, 潜在地 |  | general
ulster | /'ʌlstә/ | n. | 有带的宽大长外套 |  | culture
oliver | /'ɒlivә/ | n. | 脚踏铁锤 |  | culture
formally | /'fɒ:mәli/ | adv. | 正式地, 形式上 |  | general
billy | /'bili/ | n. | 警棍, 伙伴 |  | general
typically | /'tipikәli/ | adv. | 代表性地；作为特色地 |  | general
russell | /'rʌsәl/ | n. | 拉塞尔（英国工程师, 整流器发明人） |  | technology
presidential | /.prezi'denʃәl/ |  | a. 总统制的, 总统的, 首长的, 统辖的；总统的, 议长的, 总经理的 |  | general
raf |  | abbr. | 英国皇家空军（Royal Air Force |  | technology
hopefully | /'hәjpfjli/ | adv. | 有希望地, 如果希望能实现的话 |  | general
eric | /'erik/ | abbr. | 科教资源信息中心（Educational R；电子遥控与独立控制（Electronic R |  | technology
ross | /rɔs/ | n. | 罗丝（女性名） |  | general
behavioral | /bi'heivjәrәl/ |  | a. 行为的 |  | general
marx | /mɑ:ks/ | n. | 马克思（无产阶级的伟大领袖） |  | culture
legislative | /'ledʒislәtiv/ | n. | 立法机构；a. 立法的, 有立法权的 |  | general
sooner | /'su:nә/ | n. | (美)(非正式)抢先占有土地者, 抢先而获得 |  | general
officially | /ә'fiʃәli/ | adv. | 作为公务员, 职务上, 官方地 |  | general
lesser | /'lesә/ |  | a. 较少的, 较小的, 次要的 |  | general
backwards | /'bækwәdz/ | adv. | 向后 |  | general
nonprofit | /nɒn'prɒfit/ |  | a. 非赢利的, 无利可图的；非营利的, 无利可图的 |  | economy
ira | /'aiәrә/ | abbr. | 爱尔兰共和军（Irish Republica；个人退休帐户（Individual Reti |  | work
firstly | /'fә:stli/ | adv. | 第一, 首先 |  | general
politically |  | adv. | 政治上 |  | society
hitler | /'hitlә/ | n. | 希特勒（纳粹德国元首） |  | general
alternatively | /ɒ:l'tә:nәtivli/ | adv. | 非此即彼 |  | general
benjamin | /'bendʒәmin/ |  | 安息香 |  | general
lea | /li:/ | n. | 草地 |  | general
catherine | /'kæθәrin/ | n. | 轮圈外缘装有倒钩的车轮, 侧翻筋斗, 轮转烟 |  | general
broadly | /'brɒ:dli/ | adv. | 宽广地, 明白地, 无礼貌地 |  | general
technological | /.teknә'lɒdʒikl/ |  | a. 技术的；工艺的, 技术的 |  | technology
advisory | /әd'vaizәri/ |  | a. 顾问的, 咨询的, 劝告的；劝告的, 忠告的, 咨询的 |  | general
freud | /frɔid/ | n. | 佛洛伊德（856-1939, 奥地利心理分析 |  | health
hiv |  | abbr. | 艾滋病病毒（human immunodefi |  | general
differently | /'difrentli/ | adv. | 差异, 不同, 各别, 各种 |  | general
rightly | /'raitli/ | adv. | 合适地, 正当地, 正确地 |  | general
evidently | /'evidәntli/ | adv. | 明显地, 根据现有证据来看 |  | general
socially | /'sәuʃәli/ | adv. | 在社会上, 在社交上, 以社会生活方式 |  | society
